SE LOGER,Logis-RAP,"Hébergement, aide à l'emploi","11855 rue Marie-Anne Lavallée, Ahuntsic-Cartierville, Montréal, H3M 3E9",15143348686,www.logisrap.com,logisrap@gmail.com,18-30 ans en réinsertion
SE LOGER,Maison Nazareth,"Hébergement, repas, vêtements","1197 ave Seymour, Montreal,H3H 2A4",15149336916,,nazareth.maison@gmail.com,Hommes
SE NOURRIR,Fourchettes de l'espoir (Les),"Centre de jour, repas","12165 boulevard Rolland, Montréal-Nord, H1G 5Y1",15148521492,,lesfourchettesdel'espoir@hotmail.com,"Hommes, femmes"
S’OCCUPER DE SOI,GEIPSI-Groupe d'entraide à l'intention des personnes séropositives itinérantes et toxicomanes,"Centre de jour, soutien, échange de seringues, camps et ateliers, activités","1223 rue Ontario Est, Montréal, H2L 1R5",15145230979,www.geipsi.ca,info@geipsi.ca,"Hommes et femmes avec VIH ou VHC, toxicomanes ou itinérantes"
SE SOIGNER,CLSC des faubourgs (Clinique jeunes de la rue),"Centre de jour, douches, santé: consulatations/ examens/ dépistage/ sexualité/ soins dentaires, pairs aidants","1250 rue Sanguinet, Montréal, h2x 3e7",,www.csssjeannemance.ca/soins-et-services/population-marginale/jeunes-de-la-rue/,,"Jeunes marginalisés, 14-25, avec ou sans c.a.m"
SE LOGER,Dianova - Maison de chambres St-André,Hébergement,"1273 rue Saint-André, Montréal, H2L 3T1",15148757013,http://www.dianova.ca/index.php/itinerance/maisons-de-chambres-st-andre,dianova@dianova.ca,"Hommes, femmes, seuls, itinérants ou à risque"
SE RÉINSÉRER,Sac à Dos-action-réinsertion,"Centre de jour, douches, lessive, service d'entreposage et de casiers postaux, accompagnement.","1274 rue de Bullion, Montréal, H2X 2Z3",15143938868,www.le-sac-a-dos.org,richard.chretien@lesacados.org,"Hommes, femmes itinérants"
S'ORIENTER,Présence compassion,"Centre de jour, soutien et accompagnement psychosocial, travailleurs de rue, ateliers","1280 Rue Berri, Montréal, QC H2L 4S6",15145029844,www.presencecompassion.com,presencecompassion@hotmail.ca,Itinérants
SE SOIGNER,Spectre de Rue,"Centre de jour et de fin de semaine, soutien psychosocial, intervenants, travailleurs de rue, prévention ITSS, échange de seringues,","1280 Rue Ontario E, Montréal, QC H2L 1R6",15145245197,www.spectrederue.org,administration@spectrederue.org,"Hommes, femmes dans la toxicomanie, prostitution, itinérance ou problèmes de santé mentale"
SE LOGER,Maison du Père - Maison Wolfe,Hébergement,"1284 rue Wolfe, Montréal, H2L 3J3",15148450168,www.maisondupere.org,administration@maisondupere.org,Hommes sans-abri en réinsertion
SE LOGER,Maison du Parc,"Hébergement pour personnes vivant avec le VIH/SIDA, accompagnement et soutien psychosocial","1287 rue Rachel Est, Montréal, H2J 2J9",15145236467,www.maisonduparc.org,info@maisonduparc.org,"Hommes, femmes avec VIH/SIDA"
S’OCCUPER DE SOI,Groupe d'intervention alternative par les pairs,"Centre de jour, travailleurs de rue. sensibilisation, volet: pairs aidants","1300 rue Sanguinet, Montréal, H2X 3E7",,www.pairs-aidants.org,pairs-aidants@cactusmontreal.org,"18-30 ans, statut précaire"
SE SOIGNER,Cactus,"Centre jour, soir,nuit et fin de semaine,consultation et soins,distribution de matériel d'injection,accompagnement administratif, prévention toxicomanie / alcool, travailleur de rue, aide à l'emploi, pair-aidants","1300 rue Sanguinet, Montréal,Qc, H2X 3E7",15148470038,www.cactusmontreal.org,info@cactusmontreal.org,Usagers de drogues - sans-abri - travailleur(ses) du sexe - transsexuelles
SE RÉINSÉRER,Cactus,"Centre jour, soir,nuit et fin de semaine,consultation et soins,distribution de matériel d'injection,accompagnement administratif, prévention toxicomanie / alcool, travailleur de rue, aide à l'emploi, pair-aidants","1300 rue Sanguinet, Montréal,Qc, H2X 3E7",15148470038,www.cactusmontreal.org,info@cactusmontreal.org,Usagers de drogues - sans-abri - travailleur(ses) du sexe - transsexuelles
SE LOGER,Mission Old Brewery - Pavillon Patricia Mackenzie,"Hébergement, repas, soutien psychosocial","1301 boulevard De Maisonneuve Est, Montréal, H2L 2A4",15145266446,www.oldbrewerymission.ca,pmp@missionoldbrewery.ca,"Femmes itinérantes, 18 ans et plus"
S’OCCUPER DE SOI,Groupe d' entraide Lachine,"Centre de jour, hébergement, soutien psychosocial, ateliers, activités culturelles","1310 rue Notre-Dame, Lachine, Montréal, H8S 2C8",15146394941,www.grentraidelachine.ca,info@grentraidelachine.ca,"Hommes, femmes avec problèmes de santé mentale"
SE LOGER,Y des femmes de Montréal - Hébergement,"Centre de jour, hébergement, volet: réinsertion sociale","1355 René-Levesque Ouest, Montréal, H3J 1T3",15148669941,www.ydesfemmesmtl.org,servicesresidentiels@ydesfemmesmtl.org,"Femmes, statut précaire, sans enfants"
S’OCCUPER DE SOI,Mission St-Michael (toit rouge),"Centre de jour, soupe populaire, vêtements, accompagnement, santé, activités culturelles","137 avenue Président-Kennedy,Montréal,H2X 3P6",15148448127,www.stmichaelsmission.ca,stmichaelsmission@gmail.com,"Hommes, femmes, itinérants ou statut précaire"
S’OCCUPER DE SOI,Maison des amis du Plateau,"centre de jour et de fin de semaine (samedi), repas, vêtements, écoute et soutien, ateliers et activités","1370 Boulevard Saint-Joseph Est, Montréal, QC H2J",15145271344,www.maisondesamis.org,info@maisondesamis.org,"Hommes et femmes, statut précaire, avec ou sans enfants"
SE LOGER,RJSL - Ressources jeunesse de Saint-Laurent - Maison d' hébergement,"hébergement (8$), soutien, ligne téléphonique","1410 rue O' Brien, Saint-Laurent, Montréal, H4L 3W4",15147471341,www.rjsl.ca,info@rjsl1410.com,"Jeunes 16-22 ans, itinérants"
S'ORIENTER,RAPSIM- Réseau d'aide aux personnes seules et itinérantes de Montréal,Regroupements des services pour personnes seules et/ou itinérantes,"1431 rue Fullum local 203, Montréal, H2K 0B5",15148791949,www.rapsim.org,info@rapsim.org,"Hommes, femmes, seuls et/ou itinérants"
S’OCCUPER DE SOI,Centre de Jour St-James,"Centre de jour, vêtements, repas(souper), accompagnement et soutien, formation à l'emploi, activités, rencontres, doit être membre","1439, rue Ste-Catherine Ouest Montreal H3G 1S6",15142880039,www.stjamescentre.ca,info@stjamescentre.ca,"hommes, femmes, personnes itinérantes"
S'ORIENTER,YMCA - dialogue,"Centre de jour, douches, santé, soutien, accompagnement administratif, aide à l'emploi et à l'habitation, sports.","1440, rue Stanley, Montréal, Qc H3A 1P7",,www.ymcaquebec.org,dialogue.cv@ymcamontreal.qc.ca,"Hommes, femmes, itinérants ou statut précaire"
S’OCCUPER DE SOI,Mission Bon Accueil- Service aux jeunes,"Centre de jour, repas, vêtements, douches, santé, accompagnement, aide à l'emploi, soutien psychosocial, activités culturelles, divers sports","1448 rue Beaudry, Montréal, H2L 3E5",15149041346,www.missionbonaccueil.com,info@missionba.com,"Hommes 15-25 ans, femmes 15-30 ans"
S’OCCUPER DE SOI,Saint-Barnabé/ répit,"Centre de jour, nourriture, douches, lits, répit pour travailleurs du sexes","1473 Avenue Bennett, Mercier-Hochelaga-Maisonneuve, Montréal, QC H1V 2S5",15142512081,capstbarnabe.org,vicki.baribeau-pessiridis@capstbarnabe.org,travailleuses du sexe
SE NOURRIR,Saint-Barnabé/carrefour d'alimentation et de partage,"Centre de jour, repas (déjeuner+collation), vêtements, douches, banque alimentaire, recherche d'emploi, accompagnement, activités","1475 Avenue Bennett, Mercier-Hochelaga-Maisonneuve, Montréal, QC H1V 2S5",15142512081,www.capstbarnabe.org,capsaintbarnabe@videotron.ca,Hommes et femmes à faible revenu
SE LOGER,Saint-Barnabé/ Maison sainte-Catherine,"Hébergement, accompagnement et soutien psychosocial","1475 rue Bennet, Mercier Hochelaga Maisonneuve, Montréal, H1V 2S5",15142512081,www.capstbarnabe.org,capsaintbarnabe@videotron.ca,"Femmes, sans-abri ou à risque"
SE LOGER,Saint-Barnabé/ Maison Viau,"Hébergement, soutien, intervention","1475 rue Bennet, Mercier Hochelaga Maisonneuve, Montréal, H1V 2S5",15142512081,www.capstbarnabe.org,capsaintbarnabe@videotron.ca,Hommes seuls
SE LOGER,Maison Tangente,"Hébergement (9$), accompagnement et soutien psychosocial, activités culturelles","1481 avenue Desjardin, Mercier Hochelaga Maisonneuve, Montréal, H1V 2G5",15142528771,www.maisontangente.qc.ca,info@maisontangente.qc.ca,"Hommes, femmes, 18-25 ans, sans-abris"
S’OCCUPER DE SOI,Mission Bon Accueil - Mission des hommes,"Centre de jour, soir et fin de semaine, hébergement, repas, soutien psychosocial, accompagnement administratif","1490 rue Saint-Antoine Ouest, Montréal, H3C 1C3",15149356396,www.missionbonaccueil.com,,Hommes 18 ans et plus - sans-abri - personnes défavorisées
SE SOIGNER,AQPSUD - Association québécoise pour la promotion de la santé des personnes utilisatrices de drogues,Promotion de la santé des personnes utilisatrices de drogues,"1495 avenue Bennett, Mercier-Hochelaga-Maisonneuve, H1V 2S5",15149041241,www.linjecteur.ca,aqpsud@gmail.com,Toxicomanes
SE NOURRIR,Chic Resto Pop,"Centre de jour, repas (4$), formations et éducation","1500 Avenue d'Orléans, Montréal, QC H1W 3R1",15145214089,www.chicrestopop.com,jouellette@chicrestopop.com,"Hommes, femmes, jeunes, enfants"
SE SOIGNER,Unité d'alcoologie et de toxicomanie - Centre Griffith Edwards,Santé: service de toxicomanie en milieu hospitalier,"1547 avenue des Pins Ouest, Montréal, H3G 1B3",15149348311,www.cusm.ca/addictions_unit,,"Hommes, femmes avec problèmes de santé mentale et de dépendances"
S’OCCUPER DE SOI,AJOI - Action jeunesse de l' Ouest de l'île,"Centre de jour et de soir, santé, soutien psychosicial, accompagnement, aide à l'emploi et au logement, animation et activités, travailleurs de rue et intervenants","15632 boulevars Gouin ouest, L'île-Bizard-Sainte-Geneviève, H9H 1C4",15146754450,www.ajoi.info,information@ajoi.info,"Jeunes marginalisés, statut précaire, 12-25 ans"
S’OCCUPER DE SOI,P.A.S. de la Rue,"Centre de jour, intervenants, activités, soupe et collation, programme de réinsertion sociale, logements transitoires, sécurité alimentaire, rencontres","1575 Boul René-Lévesque E, Montréal, QC H2L 4K1",15145261699,www.pasdelarue.org,direction@pasdelarue.org,"Hommes, femmes, statut précaire, sans-abris, 55 ans et +"
S’OCCUPER DE SOI,Maison Plein coeur,"Centre de jour, hébergement, santé, accompagnement et soutien psychosocial, ateliers, activités culturelles, rencontre pour personnes avec VIH/SIDA","1611 rue Dorion, Montréal, H2K 4A5",15145970544,www.maisonpleincoeur.org,infompc@maisonpleincoeur.org,"Hommes, femmes avec VIH/SIDA"
SE LOGER,Ma Chambre inc.,Organisme pour la mise sur pied de bâtiments résidentiels à vocation communautaire,"1626 rue Saint-Hubert, Montréal, H2L 3Z3",15142879511,www.machambreinc.org,,-
SE LOGER,Maison Oxygène,"Hébergement, accompagnement et soutien","1660 Boul Pix-IX,Montréal, H1V 2C5",15146556625,www.maisonoxygene.com,oxygene@maisonoxygene.com,"Hommes, pères, familles"
S’OCCUPER DE SOI,Dans la rue- Chez Pops,"Centre de jour, école alternative, soutien juridique et psychosocial, santé, formations, recherche de logement, activités: art et musique, clinique pour animaux, intervenants de rue ( La Roulotte)","1662, rue Ontario Est, Montréal, H2L1S7",18885207677,www.danslarue.org,centredejour@danslarue.org,"Jeunes de la rue, 12-25 ans"
S’OCCUPER DE SOI,Comité Social Centre Sud,"Repas, vêtements, activités culturelles, accompagnement adrministratif","1710 Beaudry Montréal, Québec H2L 3E7",15145967093,www.comitesocialcentresud.org,cscs.direction@gmail.com,"Adultes, personnes défavorisées"
S’OCCUPER DE SOI,Centre de soir Denis Massé,"centre de soir et fin de semaine, rencontres, activités, formations et ateliers, briser l'isolement","1713 rue Amherst,Montréal,Qc,H2L 3L4",15145258059,www.denise-masse.ca,den.mass@gmail.com,"hommes, femmes, santé mentale ou itinérance"
SE LOGER,Auberge du coeur Le Tournant,"Hébergement, soutien psychosocial","1775 rue Wolfe, Montréal, H2L 3J9",15145232157,www.aubergeletournant.org,tournant@aubergeletournant.org,"Hommes, 18-29 ans, sans-abri"
S’OCCUPER DE SOI,Groupe harmonie,"Centre de jour, intervention, soutien psychosocial, formations","1801 boulevard De Maisonneuve Ouest, bureau 760, Montréal, H3H 1J9",15149392640,www.groupeharmonie.org,groupeharmonie@cooptel.qc.ca,"Hommes, femmes 55 ans et plus"
SE SOIGNER,CSSS de la Montagne - CLSC Métro - Équipe connexion,"Santé, accompagnement et suivi. Distribution de matériel stérile, intervenants.","1801 boulevard De Maisonneuve Ouest, Montréal, H3H 1J9",15149340354,www.csssdelamontagne.qc.ca,,"Hommes, femmes itinérants"
S’OCCUPER DE SOI,Diner St-Louis Café,"centre de jour et de fin de semaine, logement de transition, repas, douches, lessive, accompagnement réinsertion, intervenants,","1818 Gilford, Montréal,Qc,H2H 1G5",,www.diners-st-louis.org,j.p.narcisse@diners-st-louis.org info@diners-st-louis.org,"Jeunes marginalisés, 18-30 ans"
SE LOGER,Refuge des Jeunes de Montréal,"Centre de jour, hébergement, accompagnement","1836 Rue Sainte-Catherine E, Montréal, QC H2K 2H3",15148494221,www.refugedesjeunes.org,refuge@refugedesjeunes.org,"Hommes, 17-25 ans, sans-abri"
SE SOIGNER,"MAPN - Médecins aux pieds nus, Association humanitaire internationale, Massothérapie personnes itinérantes","Soins de santé variés, ateliers","1871 boulevard Rosemont, Montréal, H2G 1S7",,www.mapn.ca,francinemapn@gmail.com,Personnes à statut précaire ou en situation de vulnérabilité
SE LOGER,Maison Saint-Dominique - MSD,"Hébergement, soutien psychosocial","20 rue Guilbault, Montréal, H2X 1A1",15148457793,www.maisonst-dominique.org,msd@qc.aira.com,"Hommes, femmes avec problèmes de santé mentale"
S'ORIENTER,PVSQ - Portail VIH-SIDA du Québec,"Ligne téléphonique d'information, sur le VIH et autres ITSS","2000 rue Notre-Dame Est, Montréal, H2K 2N3",15145234636,www.pvsq.org,info@pvsq.org,Personnes voulant en savoir plus sur le VIH
S’OCCUPER DE SOI,Centre d'Amitié Autochtone de Montréal,"Centre de jour, repas et paniers, vêtements, douches, santé, travailleurs de rue, accompagnement et soutien, activités, maison des jeunes","2001 Boul St-Laurent,Montréal,H2X 2T3",15144991854,www.nfcm.org,executive.director@nfcm.org,"Autochtones, jeunes"
S’OCCUPER DE SOI,CAAM - Centre d'amitié autochtone de Montréal,"Centre de jour, repas, douches, vêtements, santé, accompagnement, formation, services juridiques, activités culturelles","2001 boulevard saint-Laurent, Montréal, H2X 2T3",15144991854,www.ncfm.org,info@ncfm.org,Autochtones
SE LOGER,MAP Montréal - Mères avec pouvoir,"Hébergement, soutien psychosocial","2015-A rue Fullum, Montréal, H2K 3N5",15142821882,www.mapmontreal.org,info@mapmontreal.org,Femmes monoparentales
S’OCCUPER DE SOI,Association bénévole Amilité,"Centre de jour et de soir, santé mentale,soutien psychosocial, activités diverses","2021 rue Union, bureau 855, Montréal,Qc,H3A 2S9",15149315757,www.assobenevoleamitie.cam.org,assobenevole@qc.aira.com,"Hommes, femmes, 65 ans et +, santé mentale"
SE LOGER,Habitations Oasis de Pointe-Saint-Charles,"Hébergement, soutien psychosocial, ateliers et activités culturelles","2035 rue du Centre, bureau 7, Le Sud-Ouest, Montréal, H3K 1J1",15149393781,,habitationsoasis@megaquebec.net,"Hommes, femmes avec problèmes de santé mentale"
SE LOGER,Chambreclerc,"Hébergement, accompagnement et soutien psychosocial, ateliers, activités culturelles","2060 rue Clark, bureau 99, Montéal, H2X 2R7",15148423677,,administration@chambreclerc.org,"Hommes, femmes itinérans, avec problèmes de santé mentale"
S’OCCUPER DE SOI,"Stella, L' Amie de maimie","Centre de jour (fermé le mardi), soutien et accompagnement, distribution de matériel, travailleurs de rue","2065 rue Partenais bureau 404 ,Montréal,H2K 3T1",15142851599,www.chezstella.org,info@chezstella.org,Travailleuses (ou anciennes travailleuses) du sexe
S’OCCUPER DE SOI,RÉZO- Santé et mieux-être des hommes gais et bisexuels,"Centre de jour, santé, prévention, distribution de matériel, ateliers, travailleurs de rue","2075 rue Plessis, bureau 207, Montréal, H2L 2Y4",15145217665,www.rezosante.org,direction@rezosante.org,Hommes
SE LOGER,Abri en ville (L'),"Hébergement, soutien et accompagnement, activités culturelles","2100 rue Marlowe bureau 650, Côte-des-Neiges-Notre-Dame-de-Grâce, Montréal, H7G 2B9",,www.labrienville.org,info@labrienville.org,"Hommes, femmes avec problèmes de santé mentale grave"
SE NOURRIR,Café l'Itinéraire,"Centre de jour , repas $4. Pour membres et camelots de l'Itinéraire, rencontre","2101 rue Sainte-Catherine est, Montréal,Qc, H2K 2H9",15145970238,www.itinéraire.ca,itineraire@itineraire.ca,"Hommes, femmes, membres de l'Itinéraire"
S’OCCUPER DE SOI,Maison Elizabeth,"Centre de jour, hébergement, accompagnement et soutien psychosocial, familles, réinsertion","2131 avenue Marlowe, Côte-des-Neiges-Notre-Dame-de-Grâce, Montréal, H4A 3L4",15144822488,www.maisonelizabethhouse,info@maisonelizabethhouse.com,"Jeunes mères, parents, familles"
S’OCCUPER DE SOI,Méta d'âme,"Centre de jour, hébergement, repas, accompagnement, activités","2250 Rue Florian, Montréal, QC H2K 2P5",15145289000,www.metadame.org,administration@metadame.org,"hommes, femmes toxicomanes"
SE LOGER,Habitations l' escalier de Montréal (Les) - L' Auberge du coeur l 'escalier,"Hébergement, soutien psychosocial","2295 rue desjardins, Mercier Hochelaga Maisonneuve, Montréal, H1V 2H6",15142529886,www.distributionsescalier.com,habitationsescalier@videotron.ca,"18-30 ans, risque d'itinérance"
S’OCCUPER DE SOI,IRIS-Association,"Centre de jour, de soir, de fin de semaine, hébergement, Intervention en situation de crise, soutien et réadaptation psychosociale","2430 boulevard Henri-Bourassa Est, bureau 101, Ahuntsic, H2B 1T7",15143889233,www.associationiris.ca,hl@associationiris.ca,"Hommes, femmes, en situation de crise et/ou problèmes de santé mentale, 14 ans et +"
S’OCCUPER DE SOI,IMPACT - Groupe d'aide en santé mentale,"Centre de jour, hébergement, accompagnement, activités culturelles","2460 rue Saint-Antoine Ouest app.107, Montréal, H3J 1B1",15149393132,,impact@bellnet.ca,"Hommes, femmes avec problèmes de santé mentale"
SE NOURRIR,Missionnaires de la charité,"Repas, soutien","2467 rue Champagne, Montréal, H2K 2G9",15145246372,,,"Hommes, femmes, familles, aînés"
S'ORIENTER,FMHF- Fédération des maisons d' hébergement pour femmes,"Formation pour les maisons d'hébergement pour femme, promotion de leur mission","2485 rue Sherbrooke Est, Montréal, H2K 1E8",15148789757,www.fede.qc.ca,info@fede.qc.ca,Tout service visant le bien-être et la réinsertion des femmes
SE NOURRIR,Mission du Grand Berger,"Centre de jour, repas, vêtements, soutien","2510 rue Centre, Le Sud-Ouest, Montréal, H3K 1J8",15149339608,www.missiongrandberger.com,demunis@missiongrandberger.com,"Homme, femmes, personnes défavorisées, sans-abri"
SE LOGER,Avenue Hébergement Communautaire,"Hébergement, soutien psychosocial, aide à l'emploi","2587 rue Leclaire,Montréal, H1V 3A8",15142542244,www.lavenuehc.org,maison@lavenuehc.org,"Hommes, femmes 18-29 ans"
SE LOGER,Maison l' Exode - Pavillon André Dumont,"Hébergement, réinsertion après thérapie de désintoxication","2590 avenue Letourneux, Mercier Hochelaga Maisonneuve, Montréal, H1V 2P4",15142557727,www.maison-exode.org,info@maison-exode.org,"Hommes, femmes ayant complété un programme de désintoxication"
SE LOGER,Murier (Le),"Hébergement, accompagnement et soutien, activités culturelles","2615 Boulevard Pie-IX, Montréal, QC, H1V 2E8",15142546110,www.lemurier.org,info@lemurier.org,"Hommes, femmes avec problèmes de santé mentale"
SE LOGER,Appartenances (Les),"Hébergement, soutien psychosocial, activité culturelles",2630 rue Frontenac,15145232133,www.aubergeletournant.org,lesappartenances@aubergeletournant.org,Hommes 18-35 ans
SE LOGER,FJTTM - Foyer de jeunes travailleurs et travailleuses de Montréal,Logements à coût modique,"2650 rue Davidson, bureau 110, Mercier Hochelaga Maisonneuve, Montréal, H1W 2Z2",15145223198,www.fjttm.org,info@fjttm.org,"Hommes, femmes, 17-24 ans"
S'ORIENTER,ASPA - Approche sécurisante des polytoxicomanes anonymes,"Centre de jour, santé, accompagnement et soutien psychosocial, Ligne téléphonique d'information et d'écoute, réinsertion et réhabilitation","2700 rue Rachel Est, suite 200, Montréal, H2H 1S7",15145290641,www.centreaspa.com,info@centreaspa.com,Toxicomanes 18 ans et plus et leurs proches
S’OCCUPER DE SOI,Maison Benoît Labre,"Centre de jour et fin de semaine, repas, vêtements, douches, accompagnement administratif","308 rue Young,Montréal, H3C 2G2",15149375973,www.benedictlabre.org,kprojean@benedictlabre.org,Hommes et femmes - sans-abri
S’OCCUPER DE SOI,CRGM - Centre de référence du grand Montréal,Ligne téléphonique d'information et de services,"3155 rue Hochelaga, bureau 101, Mercier Hochelaga Maisonneuve",15145271375,www.info-reference.qc.ca,crgm@info-reference.qc.ca,Tous
SE NOURRIR,Saint-Willibrord - Soupe populaire,Repas,"320 avenue Rielle, Verdun, Montréal, H4G 2S7",15147699678,,stwillibrordparish@videotron.ca,Hommes et femmes à faible revenu
SE SOIGNER,Centre de réadaptation en dépendance Foster - Notre-Dame-de-Grâce,"Centre de jour, santé, désintoxication, réinsertion sociale, intervention","3285 boulevard Cavendish, bureau 100, Montréal, H4B 2L9",18668512255,www.crdfoster.org,,"hommes, femmes, jeunes 12 ans et +, problèmes de dépendance"
S’OCCUPER DE SOI,GAP-Vies - Groupe d'action pour la prévention de la transmission de VIH et l'éradication du SIDA,"Centre de jour, ligne téléphonique, accompagnement et soutien psychosocial, distribution de matériel, ateliers","3330 rue Jarry Est, Montréal, H1Z 2E8",15147225655,www.gapvies.ca,gapvies@gapvies.ca,"Personnes porteuses du VIH, toute personne désirant de l'information"
SE SOIGNER,Médecins du monde - Interventions locales,"Centre de jour et de soir, santé, soutien psychosocial","338 rue Sherbrooke Est,Montréal,H2X 1E6",15142818998,www.medecinsdumonde.ca,info@medecinsdumonde.ca,"Personnes vulnérables, nouveaux arrivants"
SE LOGER,Dianova - Maison de chambres Aylwin,Hébergement,"3504 et 3505 rue Adam/ 1516 à 1522 rue Aylwin, Mercier Hochelaga Maisonneuve, Montréal, H1W 3B9",15149037073,http://www.dianova.ca/index.php/itinerance/maisons-de-chambres-aylwin,dianova@dianova.ca,"Hommes, femmes, seuls, itinérants ou à risque"
SE SOIGNER,Centre de réadaptation en dépendance de Montréal - programme itinérance,"Centre de jour, hébergement, soutien et accompagnement psychosocial, intégration sociale, santé, centre de désintoxication","3570, Saint-Urbain, Montréal, Québec H2X 2N8",15145251232,dependancemontreal.ca,info.crdm@ssss.gouv.qc.ca,"hommes, femmes, 25 ans et +, problèmes de dépendance"
SE SOIGNER,Centre de réadaptation en dépendance de Montréal - programme itinérance,"Santé, soutien psychosocial, information et références, programme itinérance","3570, Saint-Urbain, Montréal, Québec H2X 2N8",15145251232,dependancemontreal.ca,info.crdm@ssss.gouv.qc.ca,"hommes, femmes, 25 ans et +, problèmes de dépendance"
S’OCCUPER DE SOI,Multi-Caf - Ressource communautaire en alimentation,"Centre de jour, repas, soutien, ateliers, activités","3591 rue Appleton, Côte-des-Neiges-Notre-Dame-de-Grâce, Montréal, H3S 1L7",15147330554,www.multicaf.org,info@multicaf.org,"Hommes, femmes, statut précaire"
S’OCCUPER DE SOI,Dopamine - Centre de jour,"Centre de jour, santé, accompagnement et soutien, distribution de matériel stérile, prévention, travailleurs de rue","3591 rue Sainte-Catherine Est, Mercier Hochelaga Maisonneuve. H1W 2E6",15142518872,www.dopamine.ca,info@dopamine.ca,"Toxicomanes, travailleurs du sexe"
SE LOGER,SIDALYS,"Hébergement, repas, santé, accompagnement psychosocial","3702 rue Sainte-Famille, Montréal, H2X 2L4",15148424439,,sidasecours@hotmail.com,"Hommes, femmes avec VIH/SIDA"
SE LOGER,Maison d' Hérelle,"Hébergement pour personnes vivant avec le VIH/SIDA, accompagnement et soutien psychosocial","3742 rue Saint-Hubert, Montréal, H2L 4A2",15148444874,www.maisondherelle.org,info@maisondherelle.org,"Hommes, femmes avec VIH/SIDA"
SE SOIGNER,CSSS Sud-Ouest - CLSC Saint-Henri - Programme santé mentale adulte et dépendance,"Santé, prévention, distribution de matériel, suivi","3833 rue Notre-Dame Ouest, Montréal, H4C 1R2",15147660546,www.sov.qc.ca,,"Hommes, femmes toxicomanes"
S’OCCUPER DE SOI,TRAC - Site fixe,"Centre de soir, soutien, distribution de matériel","400 rue de l' Église, porte de côté, Verdun, H4G 2M4",15147981200,www.letrac.org,site@letrac.org,non mentionné
S’OCCUPER DE SOI,Open Door (porte ouverte),"Centre de jour, repas, vêtements, lessive, santé, accompagnement","4006 boulevard Dorchester,Westmount,Qc,H3Z 1Y5",15149391970,www.opendoortoday.org,caleb@opendoortoday.org,"hommes, femmes, itinérance ou à risque"
