id,A actualiser,Date d'actualisation,Nom,Adresse,Public(s) bénéficiaire(s),Description,Email,Téléphone,Site web,Catégorie 1,Catégorie 2,Catégorie 3,Catégorie 4,Catégorie 5,Catégorie 6,Catégorie 7
1747,,1/14/2021,Centre Communal d'Action Sociale (CCAS) et Centre départemental d'Action Social (CDAS) -  Antennes de Villejean,"42, cours John Fitzgerald Kennedy  35000 Rennes","CCAS : Jeunes, personnes en situation de précarité, personnes agées ou handicapées.

CDAS : Enfants, jeunes, femmes enceintes, parents,
personnes en situation de précarité, personnes agées ou handicapées.","Votre CCAS :
. Accès RSA , Aides financières, Carte Sortir, Gratuité des transports, Carte sortir, Aides aux vacances des enfants, aides pour les personnes âgées et personnes handicapées.

Horaires CCAS : Lundi, Mardi*, Mercredi, Jeudi, Vendredi : 8h30-12h30 et 13h30-17h. *Fermé le mardi matin.

Votre CDAS :
. Protection maternelle et infantile (PMI),  Soutien à la parentalité, Protection de l’enfance, Lutte contre les exclusions, Solidarité personnes âgées, Centre de vaccination.

Horaires CDAS : Du Lundi au Mercredi : 9h - 12h30 et 13h30 - 17h30, Jeudi : 13h30 - 17h30, Vendredi :  8h30 - 16h30.

Transports : Métro : Kennedy.",NA,"Numéro CCAS : 02.23.46.85.10
Numéro CDAS : 02.99.02.20.10",NA,S'orienter,Se soigner,S'occuper de soi,Se réinsérer,Se déplacer,,
1707,,1/14/2021,"Service d'Accompagnement aux Femmes Enceintes en Difficulté (SAFED), Centre Communal d'Action Sociale (CCAS) et Centre Département d'Action Social (CDAS) - Antennes du Centre
","7, rue Kléber 35000 Rennes","SAFED : Femmes enceintes en difficulté.

CCAS : Jeunes, personnes en situation de précarité, personnes agées ou handicapées.

CDAS : Enfants, jeunes, femmes enceintes, parents, personnes en situation de précarité, personnes agées ou handicapées.

","Le SAFED est un service de prévention médico psycho sociale précoce s’adressant à des femmes enceintes en difficulté (problèmes familiaux, délai dépassé pour une IVG…).

Horaires SAFED : Lundi, Mardi, Mercredi, Jeudi : 8h30-12h30 et 13h30-17h 30 et Vendredi : 8h30-12h30 et 13h30-17h

Votre CCAS :
. Accès RSA , Aides financières, Carte Sortir, Gratuité des transports, Carte sortir, Aides aux vacances des enfants, aides pour les personnes âgées et personnes handicapées.

Horaires CCAS: Lundi, Mardi*, Mercredi, Jeudi, Vendredi : 8h30-12h30 et 13h30-17h  *Fermé le mardi matin

CDAS :
. Protection maternelle et infantile (PMI),  Soutien à la parentalité, Protection de l’enfance, Lutte contre les exclusions, Solidarité personnes âgées, Centre de vaccination.

Horaires CDAS : Lundi, Mardi*, Mercredi, Jeudi, Vendredi** : 8h30-12h30 er 13h30-17h30 *Fermé le mardi matin **Fermeture à 17h le vendredi

Transports : C3, arrêt Place Pasteur, Métro :  République.
",Mail SAFED : secretariat.safed@ille-et-vilaine.fr,"
Téléphone SAFED : 02.99.02.34.20
Téléphone CCAS/CDAS : 02.99.02.30.35


",,S'orienter,Se soigner,S'occuper de soi,Se réinsérer,Se déplacer,,
,,1/6/2021,Agence commerciale STAR - Gare (Espace KorriGo),"19 Place de la Gare, 35000 Rennes",Tous publics.,"Pour bénéficier de gratuité des transports à Rennes (bus et métro), vous devez d'abord créer gratuitement votre carte Korrigo dans l'une des agences commerciales dy réseau Star. Ensuite, vous pouvez aller dans un Centre Communal d'Action Social (CCAS) pour demander la gratuité des transports.

Horaires : Lundi au samedi, de 7h à 20h, Dimanche, de 13h à 20h (niveau 0) .

Transports : Station de métro Gare.

",NA,09 70 82 18 00,https://www.star.fr/actualites/espace-korrigo,S'orienter,Se déplacer,,,,,
,,1/6/2021,Agence commerciale STAR - Henri Fréville,"Avenue Henri Fréville, 35200 Rennes",Tous publics.,"Les agences commerciales du réseau STAR vous permettront de trouver toutes les informations sur le réseau des transports en communs de la métropole Rennaise, d'acheter un titre de transport, de créer et de recharger la carte KorriGo.

Attention : Pour bénéficier de la gratuité des transports, vous devez d'abord créer une carte Korrigo en vous rendant à dans une agence commerciale du réseau STAR.  Ensuite, vous pouvez aller dans un Centre Communal d'Action Social (CCAS) pour demander la gratuité des transports.

Horaires : Du lundi au vendredi de 7h30 à 12h.

Transports : Station de métro Henri Fréville.


",NA,09 70 82 18 00,https://www.star.fr/actualites/espace-korrigo,S'orienter,Se déplacer,,,,,
,,1/6/2021,Agence commerciale STAR - République,"12 rue du Pré Botté, 35000 Rennes",Tous publics.,"Les agences commerciales du réseau STAR vous permettront de trouver toutes les informations sur le réseau des transports en commun de la métropole Rennaise, d'acheter un titre de transport, de créer et de recharger la carte KorriGo.

Attention : Pour bénéficier de la gratuité des transports, vous devez d'abord créer une carte Korrigo en vous rendant à dans une agence commerciale du réseau STAR.  Ensuite, vous pouvez aller dans un Centre Communal d'Action Social (CCAS) pour demander la gratuité des transports.

Horaires : Du lundi au samedi de 8h30 à 18h30.

Transports : Station de métro République.
",NA,09 70 82 18 00,https://www.star.fr/actualites/espace-korrigo,S'orienter,Se déplacer,,,,,
,,1/6/2021,Agence commerciale STAR - Villejean Université,"Université Rennes,  Campus Villejean, 35000 Rennes",Tous publics.,"Les agences commerciales du réseau STAR vous permettront de trouver toutes les informations sur le réseau des transports en commun de la métropole Rennaise, d'acheter un titre de transport, de créer et de recharger la carte KorriGo.

Attention : Pour bénéficier de la gratuité des transports, vous devez d'abord créer une carte Korrigo en vous rendant à dans une agence commerciale du réseau STAR.  Ensuite, vous pouvez aller dans un Centre Communal d'Action Social (CCAS) pour demander la gratuité des transports.

Horaires : Du lundi au vendredi de 7h30 à 12h.

Transports : Station de métro Villejean - Université.
",NA,09 70 82 18 00,https://www.star.fr/actualites/espace-korrigo,S'orienter,Se déplacer,,,,,
,,1/6/2021,Caisse d'allocations familales - CAF d’Ille-et-Vilaine," Cours des Alliés, 35028 Rennes",Tous publics.,"La Caf verse les allocations familiales, les prestations logement ainsi qu’une partie des prestations destinées à lutter contre la pauvreté, comme le RSA ou la Prime d’activité. Les Caf ont en charge les assurés du régime général et du régime des indépendants. Pour les assurés du régime agricole, c’est la MSA qui s’en charge.

Désormais toutes les démarches administratives auprès de la Caf se font par internet. Cependant, il existe un point d'accueil de votre Caf sur Rennes, ou vous pourrez bénéficier :
. Permanence sur rendez-vous avec un travailleur social. Du lundi au vendredi : 8h30-17h
. D'une borne ""à travers le mur"" en libre service 24h/24 et 7 jours/7 et d'une borne à l'intérieur de l'accueil accessible aux heures d'ouverture du siège.
. De permanences pour sourds et malentendants : accueil: en langue des signes français, tous les jeudis de 12h30 à 16H30 et sans rendez-vous.
. De permanences du délégué des défenseurs des droits : Chaque mardi après-midi sur rendez-vous. Le défenseur des droits peut être saisi par toute personne physique ou morale qui s'estime lésée dans ses droits et libertés par le fonctionnement d'une administration de l'Etat, d'une collectivité territoriale, d'un établissement public ou d'un organisme investi d'une mission de service public. Vous pouvez prendre RDV auprès des correspondants des défenseurs des droits en téléphonant au 02 99 29 59 30.

A noter : La maison de services au public de Rennes (agence partenaire de la Caf) propose un accomagnement dans l'utilisation du site internet de la Caf.

Horaires : Lundi, Mardi, Mercredi, Jeudi, vendredi : 8h30-12h30 et 13h30-16h30.
Transports : Métro station Charles de Gaulles.
","Pour prendre rendez-vous auprès d'un travailleur social :

accompagnementsocial@cafrennes.cnafmail.fr","0 810 25 35 10 (service 0,06€/min + prix appel)

Un conseiller vous répond les lundi, mardi, mercredi, jeudi et vendredi de 9h à 16h30.",https://www.caf.fr/allocataires/caf-d-ille-et-vilaine/points-d-accueil/rennes-siege,S'orienter,,,,,,
,,1/7/2021,Maison des Services Au Public (MSAP)," 2 rue du Sous-Lieutenant Yves BERGER,
35200 Rennes",Tous publics.,"La maison de services au public de Rennes a pour mission de vous accompagner dans la réalisation de toutes vos démarches administratives (courriers, remplissage de dossiers et formulaires, CV, lettre de motivation…) et de vous orienter vers le bon interlocuteur. L'agence dispose également d'un espace numérique, accessible avec ou sans accompagnement. Tous les services proposés par la maison des services au public sont gratuits et accessibles sans rendez-vous.

Horaires : Lundi, Mardi*, Mercredi, Jeudi*, Vendredi : 9h- 12h30 et 14h- 17h15. *Fermé le Mardi et le Jeudi matin.

Transports : Métro Henri Fréville.",rennes@pimms.org,02 99 32 02 58,https://www.maisondeservicesaupublic.fr/content/pimms-rennes-sud,S'orienter,,,,,,
1735,,1/14/2021,Centre d’Examens de Santé de la CPAM d’Ille-et-Vilaine,"3, place du Colombier 35000 Rennes",Tous publics.,"Examens de santé gratuits (sur rendez-vous)

Horaires : Lundi, Mardi, Mercredi, Jeudi, Vendredi : 8h-16h45
Inscription sur place le jeudi de 10h30-12h ou par téléphone du lundi au vendredi de 8h15-16h45

Transports : Metro Charles de Gaulles",NA,02.23.44.00.44,NA,Se soigner,,,,,,
,,1/7/2021,Caisse Primaire d'Assurance Maladie (CPAM) - Centre,7 cours des Alliés 35000 Rennes,Tous publics.,"Votre Caisse Primaire d'Assurance Maladie a plusieurs missions :
.La création et la mise à jour de votre carte vitale.
.L'obtention d'informations si vous êtes victime d'un accident causé par un tiers.
.L'accès à des guichets automatiques.
.De trouver l'adresse d'un médecin à Rennes et sur l'ensemble du département d'ille et Vilaine.
.Suivre vos remboursements.

Important : si vous n'avez ni sécurité sociale, ni complémentaire santé, il est possible de vous faire soigner gratuitement. Selon votre statut, il vous sera possible de bénéficier de l'Aide Médicale d'Etat (AME), La Protection Universelle Maladie (PUMA), et la la Complémentaire Santé Solidaire (CSS ex CMU-C ou ACS).

Horaires : Lundi, Mardi, Mercredi, Jeudi*, Vendredi : 8h30 - 17h. *sauf le 1er jeudi de chaque mois 8h30 - 12h30.

Transports: Bus 54, arrêt Charles de Gaulle C2, C3, C4, arrêt République C2, arrêt Gare, Métro :  Charles de Gaulle ou Gare.

",NA,3646,"

http://www.ameli.fr/assures/votre-caisse-ille-et-vilaine/index_ille-et-vilaine.php",S'orienter,Se soigner,,,,,
,,1/7/2021,Caisse Primaire d'Assurance Maladie (CPAM) -  Fréville,"218 , rue de Châtillon 35000 Rennes",Tous publics.,"Votre Caisse Primaire d'Assurance Maladie a plusieurs missions :
.La création et la mise à jour de votre carte vitale.
.L'obtention d'informations si vous êtes victime d'un accident causé par un tiers.
.L'accès à des guichets automatiques.
.De trouver l'adresse d'un médecin à Rennes et sur l'ensemble du département d'ille et Vilaine.
.Suivre vos remboursements.

Important : si vous n'avez ni sécurité sociale, ni complémentaire santé, il est possible de vous faire soigner gratuitement. Selon votre statut, il vous sera possible de bénéficier de l'Aide Médicale d'Etat (AME), La Protection Universelle Maladie (PUMA), et la Complémentaire Santé Solidaire (CSS ex CMU-C ou ACS).  .

Horaires : Lundi, Mardi, Mercredi, Jeudi*, Vendredi : 8h30-17h. *sauf le 1er jeudi de chaque mois 8h30 - 12h30

Transports : Bus C3, 13, arrêt Henri Fréville / Métro : Henri Fréville.
",NA,3646,"

http://www.ameli.fr/assures/votre-caisse-ille-et-vilaine/index_ille-et-vilaine.php",S'orienter,Se soigner,,,,,
,,1/7/2021,Caisse Primaire d'Assurance Maladie (CPAM) -  Maurepas,"11b, place du Gros-Chêne  35000 Rennes",Tous publics.,"Votre Caisse Primaire d'Assurance Maladie a plusieurs missions :
.La création et la mise à jour de votre carte vitale.
.L'obtention d'informations si vous êtes victime d'un accident causé par un tiers.
.L'accès à des guichets automatiques.
.De trouver l'adresse d'un médecin à Rennes et sur l'ensemble du département d'ille et Vilaine.
.Suivre vos remboursements.

Important : si vous n'avez ni sécurité sociale, ni complémentaire santé, il est possible de vous faire soigner gratuitement. Selon votre statut, il vous sera possible de bénéficier de l'Aide Médicale d'Etat (AME), La Protection Universelle Maladie (PUMA), et la Complémentaire Santé Solidaire (CSS ex CMU-C ou ACS).  .

Horaires : Lundi, Mardi, Mercredi, Jeudi*, Vendredi : 8h30 - 17h. *sauf le 1er jeudi de chaque mois 8h30 - 12h30.

Transports :  Bus C5, 51, arrêt Gros Chêne.
",NA,3646,"

http://www.ameli.fr/assures/votre-caisse-ille-et-vilaine/index_ille-et-vilaine.php",S'orienter,Se soigner,,,,,
,,1/7/2021,Caisse Primaire d'Assurance Maladie (CPAM) - Villejean,"35, cours Kennedy 35000 Rennes",Tous publics.,"Votre Caisse Primaire d'Assurance Maladie a plusieurs missions :
.La création et la mise à jour de votre carte vitale.
.L'obtention d'informations si vous êtes victime d'un accident causé par un tiers.
.L'accès à des guichets automatiques.
.De trouver l'adresse d'un médecin à Rennes et sur l'ensemble du département d'ille et Vilaine.
.Suivre vos remboursements.

Important : si vous n'avez ni sécurité sociale, ni complémentaire santé, il est possible de vous faire soigner gratuitement. Selon votre statut, il vous sera possible de bénéficier de l'Aide Médicale d'Etat (AME), La Protection Universelle Maladie (PUMA), et la Complémentaire Santé Solidaire (CSS ex CMU-C ou ACS).

Horaires : Lundi, Mardi, Mercredi, Jeudi*, Vendredi : 8h30 - 17h. *sauf le 1er jeudi de chaque mois 8h30 - 12h30

Transports :  Bus C4, 14, arrêt Villejean-Université Métro : Villejean-Université.",NA,3646,"

http://www.ameli.fr/assures/votre-caisse-ille-et-vilaine/index_ille-et-vilaine.php",S'orienter,Se soigner,,,,,
1716-1703,oui ,1/14/2021,Restaurant Social Leperdit (Le Fourneau),"5, rue Clémence Royer 35000 Rennes",Les personnes majeures sans révenu ou à faibles revenus. Les personnes sans domicile fixe et sans abris. ,"
Restaurant social : Repas à 1 euro, Déjeuner sur place ou à emporter.
Horaires de la structure : Lundi, Mardi, Mercredi, Jeudi, Vendredi : 8h45-12h45 et Samedi : 8h45-11h45.

Permanences (attention souvent sur rendez-vous, plus d'informations sur place auprès des travailleurs sociaux) :
.CSAPA - CHGR : 10h-12h.
.We Ker - Mission Locale : 1 er et 3 eme mardi du mois : 10h-12h.
.Aids-Caarud : Dernier mardi du mois : 10h-12h.
.Pass (Réseau Louis-Guilloux) : Mercredi : 11h-12h30
.Espace numérique  : 1 mercredi sur 2 :  9h30-12h.
.Equipe Mobile Psychiatrie Précarité (EMPP) : Jeudi 11h-12h00.
.Aide juridique d'urgence : Vendredi : 9h-11h.

Transports : Bus 9, arrêt Voltaire, Malakoff.
",restaurant.leperdit@ccasrennes.fr ,02.99.67.37.30,NA,S'orienter,Se soigner,Se nourrir,S'occuper de soi,,,
,,1/12/2021,Permanences de la Caisse Primaire d'Assurance Maladie (CPAM) au Restos du Cœur,"118, rue de l'Alma 35000 Rennes",Tous publics.,"Votre Caisse Primaire d'Assurance Maladie a plusieurs missions :
.La création et la mise à jour de votre carte vitale.
.L'obtention d'informations si vous êtes victime d'un accident causé par un tiers.
.L'accès à des guichets automatiques.
.De trouver l'adresse d'un médecin à Rennes et sur l'ensemble du département d'ille et Vilaine.
.Suivre vos remboursements.

Important : si vous n'avez ni sécurité sociale, ni complémentaire santé, il est possible de vous faire soigner gratuitement. Selon votre statut, il vous sera possible de bénéficier de l'Aide Médicale d'Etat (AME), La Protection Universelle Maladie (PUMA), et la Complémentaire Santé Solidaire (CSS ex CMU-C ou ACS).  .

Horaires : Accueil physique  : Lundi, Mardi, Jeudi : 8h30-11h

Transports : Bus C1, C2, Arrêt Jacques Cartier, Métro Jacques Cartier ou Clémenceau
",NA,02.23.30.28.50,,S'orienter,Se soigner,,,,,
,,1/12/2021,Permanences de la Caisse Primaire d'Assurance Maladie (CPAM) au Réseau Louis Guilloux,"12 ter, avenue de Pologne bâtiment le Samara, 3 e étage ",Tous publics.,"Votre Caisse Primaire d'Assurance Maladie a plusieurs missions :
.La création et la mise à jour de votre carte vitale.
.L'obtention d'informations si vous êtes victime d'un accident causé par un tiers.
.L'accès à des guichets automatiques.
.De trouver l'adresse d'un médecin à Rennes et sur l'ensemble du département d'ille et Vilaine.
.Suivre vos remboursements.

Important : si vous n'avez ni sécurité sociale, ni complémentaire santé, il est possible de vous faire soigner gratuitement. Selon votre statut, il vous sera possible de bénéficier de l'Aide Médicale d'Etat (AME), La Protection Universelle Maladie (PUMA), et la Complémentaire Santé Solidaire (CSS ex CMU-C ou ACS).  .

Horaires : Accueil physique  :Mardi, Mercredi , Jeudi, Vendredi : 9h18h
Accueil téléphonique : Lundi, Mardi, Mercredi, Jeudi, Vendredi : 8h-18h

Transports : Métro Le Blosne",NA,02.99.32.47.36,,S'orienter,Se soigner,,,,,
,,1/7/2021,Le Relais : Service de prévention spécialisée (SEA35),"ZA la Hallerais, 8 allée du Blosne
35770 Vern-sur-Seiche","En priorité, les jeunes entre
11 et 21 ans en situation de
précarité.","Les travailleurs sociaux de cette organisation ont pour but de conseiller et de réorienter des jeunes (11-21 ans) en voie de marginisation.  Par une présence régulière sur l'espace public les éducateurs du relais établissent une relation de confiance avec les jeunes, en leur laissant le choix d'adhérer à un accompagnement éducatif mutuellement défini.

Modalité de contact : L'équipe se déplace en travail de rue, à la rencontre des jeunes sur leurs lieux de fréquentation (rue, squats...).
",lerelais@sea35.org,02 99 53 76 53,https://www.sea35.org/pmo,S'orienter,Se réinsérer,Se soigner,,,,
,,1/7/2021,Préfecture ,"3, avenue de la Préfecture 35000 Rennes",Tous publics.,"Horaires : Lundi - Mardi - Mercredi - Jeudi - Vendredi  : 9h - 16h.

Transports : Bus C4, 14, arrêt Préfecture / Métro : Pontchaillou ou Villejean Université.
",NA,NA,ille-et-vilaine.gouv.fr,S'orienter,Se réinsérer,,,,,
,,1/7/2021,Mairie de Rennes,Place de la mairie 35000 Rennes,"Français, UE.","Les services formalités de la ville permettront aux personnes originaires de l'union européenne et aux réfugiés d'obtenir une carte d'identité.

Horaires: Lundi - Mardi - Mercredi - Jeudi - Vendredi    8h30 - 17h, Samedi : 9h30 - 12h.

Transports : Bus 12, arrêt Rennes Mairie / Métro : République.
",NA,02 23 62 10 10,metropole.rennes.fr,S'orienter,Se réinsérer,,,,,
,oui ,1/14/2021,Association Aide Juridique d'Urgence,"110 Rue de la Poterie, 35200 Rennes",Personnes en situation de précarité.,"L'AJU organise des permanences téléphoniques de conseil juridique généraliste à destination des personnes en situation précaire : Lundi, Mardi, Mercredi, jeudi, Vendredi.

",aidejuridiqueurgence@free.fr,02.99.51.48.31,NA,S'orienter,,,,,,
6793,Oui ,1/14/2021,Centre d'Information des Droits Des Femmes et des Familles  (CIDFF 35),"21, rue de la Quintaine 35000 Rennes",Tous publics.,"Centre d'information sur les droits des femmes et des familles. Permanences d'avocats et accompagnement juridique.

Horaires : Aujourd'hui CIDFF35 ne reçoit plus de public dans ses locaux. Toutes ses permanences avec des avocats, des notaires et des juristes sont maintenues par téléphone. Le public et les professionnels qui souhaitent avoir de l'information peuvent prendre rendez-vous au 02.99.20.80.89.

Transports  : Bus C2 arrêt Les Lices, Bus C1, C5, 8 et 9 arrêt Saine-Anne. Métro Sainte Anne
",cidff.secretariat@orange.fr,NA,http://illeetvilaine.cidff.info/,S'orienter,,,,,,
,,1/14/2021,Cité Judiciaire,"7, rue Pierre Abélard, 35000 Rennes",Tous publics.,"
Horaires permanence d'avocats : Vendredi 13h30-15h10 (Sur Rendez-vous)

Transports : Bus, 9, 15, 17, Arrêt Cité Judiciaire",NA,02.99.31.16. 62,NA,S'orienter,,,,,,
