Type,ID,Nom,Adresse,Description,Public,Email,website,Téléphone,Catégorie,Date de création
Gestion du quotidien,,Le Pain de l'Amitié,"43 rue Saint-Nicolas, 33000 Bordeaux","Le pain de l'amitié est une structure proposant différents services :
- une épicerie sociale qui procure de l'aide alimentaire aux plus démunis.
- un restaurant ouvert à tous
- des cours de français et d'alphabétisation sur inscriptions.",tous publics,lepaindelamitie@orange.fr,https://www.ssvp.fr/le-pain-de-lamitie/,05 57 95 66 21,1,
Gestion du quotidien,,Le 4 de Bordeaux - Restauration,"Place Amédée Larrieu, 33000 Bordeaux","Déjeuner organisé le 1er et 3ème dimanche de chaque mois de 12h- 15h - dates sur le site de l'association - à la salle Amédée Larrieu.

Les repas sont servis et préparés par les bénévoles.
",tous publics,contact@le4debordeaux.fr,https://www.le4debordeaux.fr/,06 95 50 51 04,1,
Gestion du quotidien,,Secours Catholique - Halte de jour,"73 rue Lafaurie de Monbadon, 33000 Bordeaux","Accueil et accompagnement des personnes en difficulté pour restaurer les liens sociaux et renforcer les solidarités
Possibilité de retirer carte 12 repas à 2€.",tous publics,bordeauxlahalte@secours-catholique.org,https://www.secours-catholique.org/,05 56 81 35 34,1,
Gestion du quotidien,,La Tablée Populaire et Solidaire,"Place de la Victoire, 33000 Bordeaux","La tablée, c'est une participation collective, bénévole et citoyenne, hiver comme été, pour distribuer des plats chauds cuisinés avec des produits frais, 2 fois par semaine de octobre à mai, 1 fois de juin à septembre.",tous publics,lapiraterie11@gmail.com,https://asso.alternaweb.org/lapiraterie/la-tablee-populaire-et-solidaire/,X,1,
Gestion du quotidien,,Unité Locale de la Croix Rouge,"50 rue Ferrere, 33000 Bordeaux","Distributions habituelles pour les familles déjà connues (compte tenu du contexte, il est possible de leur orienter des personnes).",tous publics (certains services sont accessibles sur recommandation uniquement),,https://hub.croix-rouge.fr/?str=33,05 56 52 34 85,1,
Gestion du quotidien,,Antenne Amédée Alins - Secours Populaire ,"Angle du 119 Cours de la Somme , 33000 Bordeaux","Sur orientation et RDV uniquement.
L'antenne Amédée Alins du Secours Populaire Français est une permanence d’Accueil de Solidarité et de relais Santé.
Afin d'accéder aux services proposés le bénéficiaire doit se munir de différents documents administratifs (pièce d'identité, justificatifs de ressources etc)
Participation allant de 0 à 5 euros selon ressources.
",tous publics,,,05 57 59 03 40,1,
Gestion du quotidien,,Bus/Camion du Coeur ,"6 rue du Fort Louis, 33000 Bordeaux","Collation: sandwichs, boissons chaudes et froides, viennoiseries...
",tous publics,,,,1,
Gestion du quotidien,,Centre de distribution des Restos du Coeur ,"14 rue du Fort Louis, 33000 Bordeaux","Centre de distribution alimentaire fixe. Chaque personne accueillie aux Restos a droit à une certaine quantité de nourriture qui lui permet de préparer quotidiennement un repas complet et équilibré pour tous les membres de son foyer.
",tous publics (sur inscription),,https://ad33.restosducoeur.org/centres-departementaux/ad33-centre-dactivites-bordeaux-fort-louis/,05 57 95 87 55 / 05 56 94 16 38,1,
Gestion du quotidien,,Bus/Camion du Coeur ,"Place André Meunier dit Mureine, 33000 Bordeaux","Collation: sandwichs, boissons chaudes et froides, viennoiseries...
",tous publics(animaux acceptés),,,,1,
Gestion du quotidien,,Accueil de jour du Foyer Fraternel,"6 rue Gouffrand, 33000 Bordeaux","Sur RDV uniquement.

Distribution de colis alimentaire, vêtements, produits d’hygiène et accès aux sanitaires, le tout dans un endroit convivial ou vous serez accueilli par la responsable, qui prendra le temps de faire le point sur votre situation.
",tous publics (animaux acceptés),,http://www.centresocial-foyerfraternel.fr/,05 57 87 13 92,1,
Gestion du quotidien,,ADIL 33,"105 Avenue Emile Counord, 33000 Bordeaux"," Cette structure est temporairement fermée à partir du 29/10/2020 : Passage en distanciel.

Cette association conventionnée par l'Etat met à la disposition de tous des conseillers juristes afin d'apporter une information complète, gratuite et neutre concernant le logement et l'Habitat.",tous publics,,,05 57 10 09 10,1,
Gestion du quotidien,,Comité de Talence,"71 rue Roustaing, 33000 Bordeaux",Comité de Secours Populaire proposant une aide alimentaire et vestimentaire à ses bénéficiaires.,tous publics,,,05 56 04 45 85,1,
Gestion du quotidien,,La Maison d'Elizabeth,"12 Place Saint-Michel, 33000 Bordeaux","La maison propose un accueil de jour avec les premiers soins médicaux, d’hygiène (deux douches) et un lave linge permettant aux personnes de retrouver leur dignité. Une aide dans leurs recherches administratives (et aide par un avocat) est proposée ainsi que dans leur recherche de logement, d’éducation, de formation, un travail, etc.

Possibilité de prendre un petit déjeuner et un déjeneuner.",tous publics (animaux acceptés),maisondelizabeth@gmail.com,https://www.bordeauxmecenes.org/projets-soutenus/la-maison-delisabeth/,06 66 62 80 42,1,
Gestion du quotidien,,Halte de jour Emmaüs ,"18 rue Léon Paillère, 33000 Bordeaux","5 chiens maximum par jour.
Café, thé, douche. ",tous publics (animaux acceptés),,,05 56 50 09 28,1,
Gestion du quotidien,,Accueil de jour Restos du Coeur,"77 Boulevard Alfred Daney, 33000 Bordeaux","L'Accueil de jour est un espace de convivialité ouvert de manière inconditionnelle à tous les sans abris, les sans domicile fixe et les personnes particulièrement isolées.",tous publics,,,05 56 43 24 02,1,
Santé,,TAPAJ Bordeaux - CEID-Addictions,"20 Place Pey Berland, 33000 Bordeaux","Démarches de soins en addictologie.
Chantier de réinsertion des jeunes en trois étapes : prise de contact, prise en charge, accompagnement.  ","Jeunes de 18 à 25 ans, situation régulière",,,05 35 14 00 30,3,
Santé,,Espace d'Accueil PMI de Bordeaux,"76 Cours d'Alsace-et-Lorraine, 33000 Bordeaux","Des professionnels de PMI sont à votre disposition : puéricultrices, sages-femmes, psychologues, médecins.

Prise de rendez-vous par internet ou par téléphone.
• Lundi et Mercredi 9h - 12h30 : Agence d'accueil puéricultrice sage femme
• Mardi et Jeudi 9h - 12h30 : Consultation médecin + puéricultric
• Vendredi de 9h30 à 12h30 : Permanence puéricultrice","Famille, Femmes enceinte",,,05 56 44 07 14,3,
Santé,,Caan'abus,"39 rue Sainte Colombe, 33000 Bordeaux","Sur RDV uniquement.
Accueil, accompagnement et orientation éventuelle des jeunes consommateurs de substances psycho actives (alcool, tabac, drogues...) ou étant confrontés à des addictions sans substance et de leur entourage (familial ou professionnel).
",de 15 à 25 ans en situation d'addiction,caanabus@yahoo.fr,,05 56 01 25 66,3,
Santé,,La CASE - CAARUD Espace Saint-James,"36 rue Saint-James, 33000 Bordeaux","Langue(s) parlée(s) : français, anglais (english), espanol, bulgare, russe.

Espace qui propose des soins médicaux et des services aux personnes dépendantes aux drogues. ",en situation d'addiction,,https://www.lacase.eu/,05 56 92 51 89,3,
Santé,,"Centre de Soins, d’Accompagnement et de Prévention en Addictologie (CSAPA) Maurice SERISÉ","24 rue Parlement Saint-Pierre, 33000 Bordeaux","Ses missions principales consistent en l’accueil et la prise en charge des personnes présentant des problèmes liés à des usages de substances (tabac, alcool et drogues en tout genre), mais également à des pratiques addictives (jeux d’argent, réseaux sociaux, jeux vidéo…). ",en situation d'addiction,,,05 56 44 84 86,3,
Santé,,CARUUD - Centre d’Accueil et d’Accompagnement à la Réduction des risques pour Usagers de Drogues (CAARUD) Planterose - Comité d'Etude et d'Information sur la Drogue (CEID),"16 rue Planterose, 33000 Bordeaux","Lieu d’accueil, d’orientation et de réduction des risques qui s’adresse à toute personne consommant des produits psychoactifs, licites ou illicites. Consultation uniquement les matins.
Sauf exception, le mercredi après-midi l'espace est reservé aux femmes.

Fermé les jours fériés et les week-ends.",en situation d'addiction,,https://www.facebook.com/CaarudPlanterose/,05 56 91 07 23,3,
Santé,,MDS PMI Bordeaux Saint-Augustin,"72 bis rue Guillaume Leblanc, 33000 Bordeaux","La MDS ( Maison Départementale de la Solidarité ) de Bordeaux Saint-Augustin, reçoit tout public, sur sa zone géographique d'intervention, et met en oeuvre les missions du Conseil Départemental de la Gironde (accès aux droits, accès aux aides départementales, insertion sociale, accompagnement bénéficiaires RSA, information logement, soutien éducatif, aides à la famille, missions de protection de l'enfance).

Un accueil est assuré chaque jour, sans rendez vous, par le secrétariat.

La MDS a également un service PMI (Protection Maternelle Infantile), qui reçoit sur rendez-vous (Pédiatre, psychologue, puéricultrices).",tous publics,,,05 56 98 08 18,5,
Santé,,La CASE - CAARUD Espace Bastide,"5 Quai des Queyries, 33000 Bordeaux","Accueil et accompagnement à la réduction des risques pour les usagers de drogues :

Mise à disposition de matériel :
- Matériel stérile à usage unique pour la consommation de drogues
- Matériel de prévention des risques de contamination par voie sexuelle

Public : Toute personne concernée par un usage ou une dépendance aux drogues (hors cannabis et alcool seuls)

Jours et heures : Accueil libre du lundi au vendredi, 18h-21h
Langue(s) parlée(s) : français, anglais (english), espanol.",en situation d'addiction (animaux acceptés),accueil@lacase.eu,https://www.lacase.eu/,05 56 86 45 60,3,
Santé,,ANPAA 33 - CSAPA Bordeaux,"67 Rue Chevalier, 33000 Bordeaux","Sur RDV uniquement.
Public accueilli : Ouvert à toutes personnes rencontrant des difficultés avec ses consommations, ses conduites addictives ou celles d’un proche.

Le CSAPA est une structure pluridisciplinaire qui a pour mission d'assurer les actions de prévention et de soins aux personnes atteintes d'addiction.",En situation d'addiction,,https://addictions-france.org/,05 57 57 00 77,3,
Santé,,Centre de santé médical mutualiste Bordeaux Gallieni,"45 Cours Maréchal Gallieni, 33000 Bordeaux","Accès aux soins avec dispense d’avance des frais selon les droits ouverts pour les patients : assurance maladie, mutuelles, AME. Tiers payant si protection sociale à jour.

Le centre de santé médical mutualiste de Bordeaux Gallieni est un véritable pôle de compétences médicales, avec une offre pluridisciplinaire très large et des praticiens tous conventionnés en secteur 1 : médecine générale, ORL, ophtalmologie, dermatologie, gynécologie, cardiologie, médecine vasculaire (angiologie), rhumatologie, endocrinologie-diabétologie, neurologie.

Des cabinets d'ostéopathie et de pédicurie-podologie sont aussi à votre disposition.
Accès aux soins avec dispense d’avance des frais selon les droits ouverts pour les patients : assurance maladie, mutuelles, AME. Tiers payant si protection sociale à jour.
",tous publics (sur RDV uniquement),,https://www.pavillon-mutualite.com/27-services-et-soins/15-centre-de-sante-medical-gallieni.html,05 56 33 95 50,3,
Santé,,MDS et PMI de Bordeaux Saint-Jean,"15 rue Belle Étoile, 33000 Bordeaux","Les services d'accompagnement social et PMI sont sur rendez-vous pour une prise en charge individualisée
Pôle accueil/insertion
Permanence assistants sociaux
Pôle Prévention
Permanence éducateurs et psychologues
Les mardis matins : permanence d'un addictologue de l'ANPAA. Sur RDV.
05 56 92 27 92","Famille, Femmes enceinte",,,05 56 92 27 92,3,
Santé,,AIDES,"6 Quai de Paludate, 33000 Bordeaux","AIDES est un centre de dépistage.
Lors de la permanence, accueil et de accompagnement sur la santé sexuelle, la consommation de produits psycho-actifs, distribution de préservatifs, dépistages rapides VIH et hépatites C.

Accueil du public sans condition, confidentiel et gratuit.
Standard ouvert de 14h à 18h du lundi au vendredi.",tous publics,,https://www.facebook.com/AIDES33,05 57 87 77 77,3,
Santé,,Le Planning Familial - 33,"19 rue Eugène le Roy, 33000 Bordeaux","Professionnel.les et bénévol.es vous accueillent de façon anonyme et gratuite dans un lieu d’écoute et d’orientation dédié aux questions de sexualités (orientation sexuelle, moyens de contraception, accès à l'avortement, infections sexuellement transmissibles, plaisir, etc.) mais également de violences (sexistes et sexuelles, violences conjugales, harcèlements, etc).
Accueil téléphonique du lundi au vendredi.
",tous publics,,https://www.planning-familial.org/fr/le-planning-familial-de-gironde-33#reception-services-anchor,05 56 44 00 04,3,
Santé,,Maison Départamentale de la santé Bordeaux Cauderan,"2 rue du Moulin Rouge, Quartier du Caudéran, 33000 Bordeaux","Missions :
- accompagnement santé précarité
- centre de planification
- centre gratuit d'information de dépistage et de diagnostique de Bordeaux (CeGIDD) : VIH, hépatites, infections sexuellement transmissibles
- centre départemental de vaccinations
- lutte antituberculeuse
- consultation de sexologie sur RDV

Derrière la Cité Administrative, à l'angle de la rue Jules Ferry",tous publics,,https://www.gironde.fr/sante-sexualite/mieux-vivre-sa-sexualite#cegidd,"
05 57 22 46 66",3,
Santé,,Maison d'Ella,"381 Boulevard du Président Wilson, 33000 Bordeaux","La Maison d’Ella propose une offre de soin pluridisciplinaire sur la Gironde pour réparer psychiquement et physiquement les femmes victimes de violences par une prise en charge à moyen et long terme (violences physiques et/ou violences sexuelles qu’elles soient intrafamiliales, conjugales ou d’une autre nature et/ou mutilations sexuelles.",Femmes,,http://cacis-pro.fr/,05 57 09 25 77,3,
Santé,,Service d'Evaluation de Crise et d'Orientation Psychiatrique (SECOP),"121 rue de la Béchade, 33000 Bordeaux","Urgence psychiatrique.

Entrée par le 146 bis rue Léo Saignat
",COVID : Ouvert uniquement pour les personnes déjà suivies,,https://www.ch-perrens.fr/,05 56 56 35 50,3,
Santé,,Permanence d'Accès aux Soins de Santé (PASS) Bordeaux,"121 rue de la Béchade, 33000 Bordeaux","Spécialisé en psychiatrie
- Faciliter l'accès aux soins de santé.",tous publics,,https://www.ch-perrens.fr/,05 56 56 34 70,3,
Santé,,Service Addictologie CH Charles Perrens,"121 rue de la Béchade, 33000 Bordeaux","Le service addictologie (CSAPA, HDJ, ELSA, ...) est un centre d'accueil, d'évaluation et de soin pour toutes personnes en difficultées avec l'usage de substances (tabac, cannabis, alcool, héroïne, amphétamines, cocaïne, produits dopants, tranquillisants, ...) ou avec des comportements (Jeu de Hasard et d'Argent, Jeux Video, alimentaires, écrans, achats, ...). Nous accueillons également l'entourage et/ou la famille.
Le service addictologie est ouvert à tous sans condition de localisation géographique.
Le CSAPA est référent au Centre Pénitentiaire de Gradignan.
Nous co-intervenons à la Consultation Jeunes Consommateurs ""Cann'Abus"" à Bordeaux (CEID Addictions et ANPAA.
Nous avons des consultations de proximité dans certains CHRS et MR de Bordeaux Métropole.

Renseignez-vous au secrétariat par téléphone",tous publics,,,05 56 56 67 02,3,
Santé,,CACIS (Centre d'Accueil Consultation Information Sexualité),"163 avenue Emile Counord, 33000 Bordeaux","Consultations gynécologiques gratuites, informations, conseils à la parentalité et à la sexualité, accompagnement. Gratuit pour les jeunes et les non assurés sociaux.",tous publics,,http://cacis-asso.net/,05 56 39 11 69,3,
Santé,,MDS PMI de Bordeaux Grand-Parc,"169 Avenue Emile Counord, 33000 Bordeaux","Les services de la Maison Départementale de la Solidarité de Bordeaux Grand-Parc, facilitent l’accès aux droits liés aux difficultés de la vie, accueil et information du public aux heures d'ouverture.
Les services d'accompagnement social, MDS et PMI de Bordeaux Grand-parc sont soumis à rendez-vous pour une prise en charge individualisée.
","Famille, Femmes enceinte",mdsi-bx-grandparc@gironde.fr,,05 57 59 04 50,3,
Santé,,MDS PMI Bordeaux Bastide,"252 Avenue Thiers, 33000 Bordeaux","Les services de la MDS de Bordeaux Bastide proposent un accompagnement social visant à faciliter l’accès aux droits liés aux difficultés de la vie aux habitants de Bordeaux Bastide : accueil et informations aux heures d'ouverture.

La MDS propose une PMI (services de la Protection Maternelle Infantile) prendre rendez-vous pour une prise en charge individualisée.

Au sein de la MDS vous trouverez également un Centre de plannification et d'éducation familiale (CPEF).
Le but du CPEF est de faciliter l'accès à la contraception notamment pour les mineurs et les 18-25 ans, permettre l’information sur l’IVG si besoin.
Les consultations sont gratuites pour les mineurs et les non assurés sociaux dans tous les centres ; dans les centres gérés par le Département la gratuité est pour tous. Les consultations et entretiens sont ouverts à tous.","Famille, Femmes enceinte",dgas-dps-mds@gironde.fr,,05 57 77 92 05,3,
Santé,,MDS PMI Bordeaux Caudéran,"88 rue Bellus Mareilhac, 33000 Bordeaux","Les services de la MDS de Bordeaux Caudéran facilitent l’accès aux droits liés aux difficultés de la vie_ accueil et information du public aux heures d'ouvertur
Les services d'accompagnement social, MDSI ou la PMI (services de la Protection Maternelle Infantile), sont soumis à rendez-vous pour une prise en charge individualisée.",tous publics,,,05 56 42 51 90,3,
Santé,,MDS PMI Bordeaux Lac,"47 rue Charles Tournemire (Batiment H3), 33000 Bordeaux","Les services de la MDS de Bordeaux Lac proposent un accompagnement social visant à faciliter l’accès aux droits liés aux difficultés de la vie aux habitants de Bordeaux Lac, accueil et informations aux heures d'ouverture.",tous publics,,https://www.bordeaux.fr/o148/pmi-bordeaux-lac,05 56 11 54 70,3,
Fontaine/WC,,Fontaine,"Place Bernardos, 33000 Bordeaux",Point d'eau potable,tous publics,,,,4,
Fontaine/WC,,Fontaine,"Poste de Bacalan, 33000 Bordeaux",Point d'eau potable,tous publics,,,,4,
Fontaine/WC,,Fontaine,"Quai Mal Lyautey, 33000 Bordeaux",Point d'eau potable,tous publics,,,,4,
Fontaine/WC,,Fontaine,"Jardin de l'Hôtel de Ville, 33000 Bordeaux",Point d'eau potable,tous publics,,,,4,
Fontaine/WC,,Fontaine,"Quai Rive Gauche, 33000 Bordeaux",10 points d'eau potable,tous publics,,,,4,
Fontaine/WC,,Toilettes ,"Allée d'Orléans, 33000 Bordeaux",Sanitaire automatique 24/24,tous publics,,,,4,
Fontaine/WC,,Fontaine,"Cours Xavier Arnozan, 33000 Bordeaux",Point d'eau potable ,tous publics,,,,4,
Fontaine/WC,,Toilettes ,"Place Gavinies, 33000 Bordeaux",Sanitaire automatique 24/24,tous publics,,,,4,
Fontaine/WC,,Fontaine,"Place Meynard, 33000 Bordeaux",Point d'eau potable,tous publics,,,,4,
Fontaine/WC,,Toilettes ,"Allée de Chartres, 33000 Bordeaux",Sanitaire automatique 24/24,tous publics,,,,4,
