Type,ID,Nom,Adresse,Description,Public,Email,website,Téléphone,Catégorie1,Catégorie2,Catégorie3,Catégorie4,Catégorie5,Date de création
,,L'Espélido,30 rue Henri IV 30000 Nîmes,"Hébergement d'urgence + accueil, orientation, service de domiciliation : lundi au jeudi de 8h-12 h et 13h30-17h et vendredi de 8h-12h",,association@espelido.org,https://fr-fr.facebook.com/Lespelido.nimes/,115 ET 04 66 04 78 00,2,5,7,,,
,,Restaurant du cœur - Accueil de jour,8 impasse Gaston Blanc 30000 Nîmes,"Du lundi au vendredi : accueil, petits déjeuners, douches, laveries, vestiaire de 8h-11h", ,ad30.accueiljour@restosducoeur.org,,09 52 91 99 60,1,5,61,42,43,
,,Le Pain Partagé,280 rue Charles Martel 30000 Nîmes,"Lundi au vendredi : Accueil, douches 9h-12h + Repas à emporter à 12h - Participation 1 € - prévoir une boîte hermétique - Fermeture Juillet et Aout",,lepainpartage.nimes@yahoo.fr, ,04 66 67 85 33 - 04 66 62 27 29,1,5,42,,,
,,Secours Catholique,10 boulevard Natoire 30000 Nîmes,Accueil sur rendez-vous le jeudi de 9h-11h et 14h-16h et ensuite accès à Boutique solidaire de vêtements,,,,04 66 21 20 14,61,,,,,
,,Equipe Saint Vincent de Paul - Epicerie Solidaire : La Croisée des Chemins,32 boulevard Sergent Triaire 30000 Nîmes,Ouvert aux personnes ayant eu l'accord via une assistance sociale : le mardi de 9h-12h et 14h-17h30 ( 20% du prix magasin),Sur recommandation,SSVPCD30@GMAIL.COM,https://www.ssvp.fr/reseau/gard,04 66 76 14 20,1,,,,,
,,Secours Populaire français,104 route d'Avignon 30000 Nîmes,"Sur rendez-vous les lundi, mardi, jeudi et vendredi de 14h-17h : Ecoute, accompagnement, aides personnalisées, orientation, vestiaire, distritibution alimentaire d'urgence", ,contact@spf30.org,https://www.secourspopulaire.fr/30/,04 66 02 98 98,1,61,5,7,,
,,Secours Populaire français,11 rue Richelieu 30000 Nîmes,Sur rendez-vous les lundi au vendredi de 9h-12h et 14h-17h ( sauf jeudi après-midi) : vestiaire, ,contact@spf30.org,https://www.secourspopulaire.fr/30/,04 66 02 98 98,61,,,,,
,,Centre de vaccination du Gard,15 A rue Notre Dame 30000 Nîmes,Permanences vaccinales : mardi 13h-16h30 et mercredi 10h-12h et 13h-17h30 - Permanence infirmières : 8h30-12h et 13h-17h30,tout public,,,04 66 26 06 96,3,,,,,
,,ANPAA 30 - Centre de soin en addictologie,60 rue Siegfried 30000 Nîmes,"Centre de soins, de prévention et d'accompagnement sur rendez-vous du lundi au vendredi",,anpaa30@anpaa.asso.fr, ,04 66 29 25 13,3,,,,,
,,Résidence Monjardin,16 rue Fénelon 30000 Nimes,"Résidence pour jeunes de 16 à 30 ans ( en emploi, stage, formation ou recherche d'emploi)",jeunes de 16 à 30 ans actifs,contact@residence-monjardin.fr,https://residence-monjardin.com/,04 66 67 24 54,2,,,,,
,,Foyer la Reinette,1 rue Garons 30000 Nîmes,"Résidence pour jeunes de 16 à 30 ans ( en emploi, stage, formation ou recherche d'emploi)",jeunes de 16 à 30 ans actifs,,,04 66 84 91 05,2,,,,,
,,AIDES-CAARUD,"24 rue Porte de France, 30000 NÎMES",Centre d'accueil et d'accompagnement à la réduction des risques pour usagers de drogues : Mardi 14h-19h et Vendredi 14h-18h,Usager de drogue,nimes@aides.org,https://www.aides.org/,04 66 76 26 07,3,,,,,
,,ASUD,6 bis rue Notre Dame 30000 Nîmes,Centre d'accueil et d'accompagnement à la réduction des risques pour usagers de drogues : mercredi 9h30-12h et lundi à vendredi ( sauf mardi) 14h-18h,Usager de drogue,asudnimes@orange.fr,https://www.facebook.com/asudnimes/,04 66 36 00 12,3,,,,,
,,Centre de lutte contre la tuberculose ( dépistage gratuit),CHU - Bâtiment Institut de Cancérologie - Place du Professeur Debré 30000 Nîmes,sur rendez vous lundi et mardi de 9h-12h et 14h-17h,,,http://www.chu-nimes.fr/pole-nirr/centre-de-vaccinations-internationales-cvi.html,04 66 68 32 21,3,,,,,
,,ARAP Rubis,23 rue de Beaucaire 30000 Nîmes,"Action médico-sociale en direction des personnes prostituées : Lundi, mardi, jeudi et vendredi 14h-18h Mercredi sur rendez-vous de 9h-12h",Personnes prostituées,,http://arap-rubis.org/index.html,09 53 34 92 46 - 09 82 27 26 00,3,5,,,,
,,AMI ASSOCIATION POUR LES MIGRANTS,22 rue Briconnet 30000 Nîmes,"Accueil et orientation, accompagnement administratif, démarches diverses.",personnes sans droit au séjour,assoaminimes@gmail.com,https://ami-nimes.fr,04 66 64 35 13,5,7,,,,
,,Résidence Albaric,27 rue Jean Reboul 30900 Nîmes,"Résidence pour jeunes de 16 à 30 ans ( en emploi, stage, formation ou recherche d'emploi)",jeunes de 16 à 30 ans actifs,accueil.albaric@albaricgide.fr,https://www.albaricgide.fr/,04 66 67 45 74,2,,,,,
,,Résidence Charles Gide,5 impasse Messager 30900 Nîmes,"Résidence pour jeunes de 16 à 30 ans ( en emploi, stage, formation ou recherche d'emploi)",jeunes de 16 à 30 ans actifs,accueil.gide@albaricgide.fr,https://www.albaricgide.fr/contact/,04 66 64 13 37,2,,,,,
,,Boîte à lire,boulevard talabot 30000 nimes,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.


 Précisions sur celle-ci : Dans la gare à coté des escalators dans la boutique Viens attendre à NIMES les 3 grandes bibliothèques",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,563 chemin de la planète 30000 Nîmes,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,84B avenue jean jaures 30000 Nimes,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.
Précisions sur celle-ci : Dans la banque crédit mutuel, après le sas d entrée sur la gauche. Il y a une bibliothèque en libre service.",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,1336 chemin de russan 30000 NIMES,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres. Précisions sur celle-ci : place de l ambiance salle du comité de quartier avec les boulistes,tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,325 chemin de camplanier 30000 Nimes,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.
Précisions sur celle-ci : Au croisement avec le chemin des écoliers",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,impasse du basilic 30000 nimes,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.
Précisions sur celle-ci : Lotissement les Romarins, croisement rue de l'églantier.",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,257 chemin de l auberge de jeunesse 30000 NIMES,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.
Précisions sur celle-ci : à coté de l entrée de l'école, en face de l'auberge de jeunesse",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,Quartier croix de fer 30000 Nimes,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.
Précisions sur celle-ci : Dans un square avant le viaduc",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,522 chemin de la préfecture 30000 Nimes,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.
Précisions sur celle-ci : Mis en place par le comité de quartier.",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,42 rue de la République 30000 NIMES,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.
 Précisions sur celle-ci : La boite à lire est dans la laverie qui se trouve à cette adresse.",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,91 chemin de russan 30900 NIMES,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.
 Précisions sur celle-ci : très belle initiative du comité de quartier, dans le petit parc",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
,,Boîte à lire,12 chemin du Belvèdère 30900 NIMES,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

 Précisions sur celle-ci : Square de l'alouette, proche de l'ARAMAV",tous publics,,https://www.boite-a-lire.com/,,6,,,,,
