Type,ID,Nom,Adresse,Description,Public,Email,website,Téléphone,Catégorie1,Catégorie2,Catégorie3,Catégorie4,Catégorie5,Date de création
Se nourrir,,Ensemble pour un Repas,Maraude,Maraude alimentaire les soirs à Part Dieu Vilette ou encore Place Carnot,Tout Public,ensemblerepas@yahoo.fr,,,1,,,,,
Se nourrir,,Entraide Champenoise,"13 place Ludovic Monnier, 69410 Champagne au Mont d'Or","L’Entraide champenoise est une association à l'écoute des personnes en situation de précarité et propose une distribution alimentaire gratuite aux habitants champenois, sur les conseils d.un.e assistant.e social.e ou du C.C.A.S. et sur justificatif de revenus.

Ils proposent également des spectacles gratuits sur Champagne grâce à la municipalité et aux associations du village. 

Horaires d’ouverture : 
Distribution alimentaire tous les vendredis de 13h à 17h 
",Habitants champenois,entraidechampenoise@orange.fr,https://www.mairiedechampagne.fr/Entraide-champenoise.html,,1,,,,,
Se nourrir,,Entraide Décinoise ,"Place Roger Salengro, 69150 Décines-Charpieu","L’Entraide décinoise est une association à l'écoute des personnes en situation de précarité, qui propose une distribution alimentaire gratuite aux habitants décinois, sur les conseils d'un.e assistant.e social.e ou du C.C.A.S. et sur justificatif de revenus.
",Habitants décinois,mairie@mairie-decines.fr,https://www.decines-charpieu.fr/evenement/2555/217-actualite.htm,04 72 93 30 37,1,,,,,
Vetements/Matériel,,Entraide Majolane - La Boutique de Meyzieu,"8/10 Rue Jean Louis Barrault, 69330 Meyzieu","L’association apporte une aide alimentaire, matérielle et morale aux personnes démunies de ressources ou défavorisées.
OUVERT À TOUS pour la vêtementerie, l’alimentation générale, le bazar/jouets, la vaisselle et l’espace culturel.

Horaire d'ouverture : 
Acceuil : du Lundi au Vendredi de 8h à 17h et le Samedi de 8h à 11h30
Distribution Alimentaire : du Lundi au Vendredi de 9h à 12h puis de 14h à 16h30
Dépôt de dons : du Lundi au Vendredi de 8h à 17h et le Samedi de 8h à 11h30
",Tout Public ,"entraide.majolane@orange.fr
",https://www.entraide-majolane.fr/poles/,04 78 31 84 17,61,1,,,,
Se nourrir,,Epi'Autre ," 15 Rue de la République, 69170 Tarare","Epi'Autre est une épicerie solidaire qui vend des produits de consommation courante destinés à une population connaissant des difficultés économiques habitant à Tarare ou son Canton et sur présentation du revenu

Horaires d'ouverture : 
Lundi de 17h à 18h 
Mercredi de 8h30 à 11h30 
Vendredi de 14h30 à 18h",Tout Public ,bureau@epiceriesolidaire-tarare.fr,https://www.facebook.com/EpiAutre/,"
04 27 48 03 42",1,,,,,
Se nourrir,,Epi'Centre,"104 Rte de Vienne, 69008 Lyon
","Epi'centre est une épicerie solidaire accessible sur adhésion. Ils fournissent également un accompagnement social

Horaires d'ouverture : 
Mercredi, Jeudi, Vendredi, Samedi de 9h à 12h30 puis de 14h à 20h",Tout Public ,epicentre.lyon8@gmail.com,https://www.epicentre-lyon.fr/,04 69 67 31 47,1,5,,,,
Se nourrir,,Epicerie Solidaire du Pays d'Amplepuis,"27 Rue Jean Jaurès, 69240 Thizy-les-Bourgs","Epicerie Solidaire après orientation par la MDR (Maison du Rhône)

Horaires d'ouverture : 
Mardi de  09 h 00 à 12 h 00
Jeudi de 09 h 00 à 12 h 00  et de 13 h 30 à 17 h 30",Tout Public ,,http://www.thizylesbourgs.fr/fr/information/112341/epicerie-sociale,04 26 81 20 67,1,,,,,
Se nourrir,,Epcierie Sociale Saint Camille Vaise ,"76 bis Rue des Docks, 69009 Lyon","Epicerie Solidaire avec produits à prix réduits ou sous forme de dons. 

Horaires d'ouverture : 
Les Mardi, Mercredis et Samedi de 9h à 12h",Tout Public ,,https://www.paroissedevaise.fr/epicerie-solidaire-saint-camille-vaise/,06 58 62 66 28,1,,,,,
Se nourrir,,Epicerill,"4 rue de Rome, 69140 Rillieux-la-Pape","Epicerie sociale et solidaire accessible sur rendez vous

Horaires d'ouverture : 
Les mardis, jeudis et vendredis de 9h30 à13h30 
Les mercredis de 10h00 à 12h00 puis de 14h00 à 17h00",Tout Public ,,https://epicerill.business.site/,"04 78 55 50 47",1,,,,,
Se nourrir,,Espace Créateur de Solidarité - La Casaline,"5 allée du Merle Rouge, 69190 Saint-Fons","Association qui propose une épicerie solidaire pour les habittants de St Fons et sur orientation d'un.e travailleur.se social.e ainsi qu'une recyclerie. Ils acompagnent egalement un accompagnement RSA pour les personnes désignées par le département du Rhône lors d'instance (CLI). 

Ils proposent des activités collectives telles que du jardinage ou des sorties culturelles. Ils animent aussi des permanences numériques qui ont lieu sur rendez vous au 04 37 60 04 80 les mercredis de 9h30 à 11h30 et les vendredis de 14h à 16h 

Horaires d'ouverture : 

Epicerie (sur RDV) : 
Mardi : 16h à 18h30
Mercredi : 9h à 12h
Jeudi : 9h à 12h et de 14h à 18h30
Vendredi : 13h à 15h

Recyclerie : les mardis et jeudis de 14h à 17h30 ",Tout Public ,accueil@asso-ecs.org,https://assoecs.wixsite.com/asso,04 37 60 04 80,1,7,,,,
Se réinsérer,,Etudiants Musulmans de France,"1c Av. des Frères Lumière, 69008 Lyon","L’EMF vise à créer du lien autour des étudiants via des activités sportives ou culturelles. Ils fournissent également une aide matérielle et humaine en cas de difficultés (colis alimentaires) et organisent des maraudes pour les personnes sans-abri. 

Ils proposent aussi un soutien pendant le cursus des étudiants avec la mise en place de plateformes de parrainage et stands d'orientation, formations au développement personnel et partage de connaissances.
",Etudiants ,contact@lyon.emf-asso.com,https://ww1.lyon.emf-asso.com/accueil,,5,1,,,,
Se nourrir,,Association des Familles de Francheville ,"27 et 42 grande rue, 69340 Francheville"," L’ Association des Familles, a ouvert un lieu d’écoute ainsi qu'un vestiaire d'urgence qui fonctionnent en même temps que son service d’aide alimentaire, accessible après orientation d’un.e travailleur.se sociale

Horaires d’ouverture : 
tous les jeudis de 9 h à 12 h 
",Familles sur orientation,"association.familles@free.fr ",http://association.familles.free.fr/,04 78 59 26 96,1,61,,,,
Se nourrir,,AGORAé La Doua,"Bâtiment Déambulatoire 12-14 Rue Raphaël Dubois, 69100 Villeurbanne","L’AGORAé est une épicerie solidaire où, en moyenne, tout est à -90%. 

C'est aussi un pôle d’information. Une partie du local accessible à TOUS les étudiant.e.s où ils ont accès à des permanences de psychologues, d’assistantes sociales (en coopération avec le Crous de Lyon).

Horaires d'ouverture : 
Du lundi au vendredi de 10h à 17h",Etudiants,agorae@gaelis.fr,http://gaelis.fr/agorae-2/,04 72 44 82 17,1,5,,,,
Se nourrir,,AGORAé Bron,"Université Lyon 2 Bâtiment Ur, 5 Avenue Pierre Mendes, 69676 Bron","L’AGORAé est une épicerie solidaire où, en moyenne, tout est à -90%. 

C'est aussi un pôle d’information. Une partie du local accessible à TOUS les étudiant.e.s où ils ont accès à des permanences de psychologues, d’assistantes sociales (en coopération avec le Crous de Lyon).

Horaires d'ouverture : 
Du lundi au vendredi de 10h à 17h",Etudiants,agorae@gaelis.fr,http://gaelis.fr/agorae-2/,04 72 44 82 17,1,5,,,,
Se réinsérer,,Groupe d'Entraide Mutuelle AGORA,"2 rue Louis Poly, 69160 Tassin-La-Demi-Lune",Association d'aide à la réinsertion de personnes en grande souffrance psychique ,,"lesamisdugemagora@free.fr
",,09 51 92 81 00,7,,,,,
Se loger ,,Maison des Amies du Monde (MAM),"33 rue Benoist Mary, 69005 Lyon",Lieu d'hébergement d'urgence pour femmes avec ou sans enfant de moins de 3 ans,Femmes seules ou avec enfants de moins de 3 ans,,https://www.habitat-humanisme.org/projets/maison-amies-monde/,04 72 71 16 00,2,,,,,
Se loger ,,CHRS Train de Nuit,"11 quai Perrache, 69002 Lyon ",Heberement d'urgence et d'insertion pour hommes seuls et familles monoparentales,Homme seuls et familles monoparentales,,https://www.habitat-humanisme.org/projets/train-de-nuit-11-quai-perrache/,04 72 71 16 00,2,,,,,
Se loger ,,Village Mobile - Habitat Humanisme ,"9 Rue Mathieu Varille, 69007 Lyon","Solution temporaire de logements
d’urgence pour les populations en grande précarité ",,,,,2,,,,,
Se loger ,,Village de St-Priest - Habitat Humanisme,"22 rue de Provence, 69800 St-Priest",Hébergement d'urgence pour familles ,Familles,,, ,2,,,,,
Se nourrir,,L3DD,"Campus Manufacture des Tabac Lyon 3, 16 Rue Professeur Rollet, 69008 Lyon",Association étudiante pour l apromotion d'une alimentaire saine et responsable. Une épicerie solidaire pour les étudiants sur adhésion,Etudiants,association.l3dd@gmail.com,https://associationl3dd.wordpress.com/, ,1,,,,,
Se nourrir,,La Case Africaine,"15 rue François Guillard, 69120 Vaulx-en-Velin","Collecte et distribution quotidiennes de denrées pour les familles démunies. Accompagnement des réfugiés en cours de régularisation, actions contre la pauvreté et l’exclusion sociale, soutien dans l’accès au logement social, à la culture…",Familles Réfugiées,caseafricaine@orange.fr,,04 72 04 49 02,1,5,,,,
S'orienter,,La Halte - Sauvegarde 69,"411 rue Déchavanne, 69400 Villefranche sur Saône","La Halte est un pôle insertion avec un service d’accompagnement social qui s’adresse à un public en situation de rupture sociale. Il mène trois types d’actions :

Hébergement, pour des jeunes jusqu’à 25 ans, isolés et sans ressources, ainsi que pour des familles monoparentales. 
Accompagnement social, sur les questions de l’accès au logement ou du maintien dans un logement.
Veille mobile urbaine ou maraude, en partenariat avec des bénévoles de La Croix-Rouge.",Jeunes de moins de 25 ans et familles mono-parentales,,https://www.sauvegarde69.fr/etablissements-services/insertion/la-halte/, 04 74 68 77 21,5,2,,,,
Se nourrir,,La Main Tendue,"62 b Avenue Général-Leclerc, 69007 Lyon","Collectes et distributions alimentaire, vestimentaire de produits d'hygiène",,,,06.67.00.45.50,1,,,,,
Se nourrir,,La Main Tendue (FNDSA) ,"461 Rue Robert Schuman, 69400 Villefranche-sur-Saône","Acceuil de jour inconditionnel avec petit déjeuner tous les matins. 

Possibilité de prendre une douche, faire sa lessive. Une bagagerie est mise à disposition et des permanences santé sont proposées.

Café-Rencontre “RSA” : temps d’échange convivial pour les bénéficiaires du RSA, avec le soutien du Département du Rhône. Les vendredis de 14h à 16h

Horaires d'ouverture : 
Du lundi au vendredi de 8h15 à 11h15",Tout Public ,,https://www.fndsa.org/centres/accueil-la-main-tendue.html, ,1,5,42,43,,
Se nourrir,,Le Pain de Sarepta ," 11-13 Avenue de la République Bâtiment R, Parc de la République 69200 Vénissieux
","Le Pain de Sarepta a pour but exclusif le soutien, l’assistance et la bienfaisance en venant en aide matériellement et moralement aux personnes dans le besoin.  Pour bénéficier de l’aide il faut adhérer à l'association et justifier ses ressources avec un dossier.

Distribution de colis alimentaires le mercredi et le vendredi et une épicerie sociale où les familles membres peuvent se procurer des produits non-alimentaires neufs à un tarif très abordable.  (Produits hygiènes corporels ou ménagers, Vêtements Hommes, Femmes, Enfants, et  bébé, Jouets Etc...)    

Horaires des distributions alimentaires : 
Mercredi de 10:30 à 12:30
Vendredi de 15:30 à 18:30
",Familles , contact@paindesarepta.org ,https://le-pain-de-sarepta.business.site/,  09 82 21 11 32,1,,,,,
Se loger,,Le Refuge," 19 Quai Arloing, 69009 Lyon","Hébergement et accompagnent de jeunes LGBTQ+, âgés de 14 à 25 ans, rejetés par leurs parents, chassés du domicile familial, parce qu’ils sont homosexuels ou trans et/ou en questionnement identitaire.

Horaires d'ouverture : 
Lundi : 9h-12h
Mardi : 9h-12h
Mercredi : 9h-11h et 19h-20h
Jeudi : 9h-12h
Vendredi : 9h-12h et 13h-15h
Samedi : 14h-16h",Jeunes LGBTQ+ de moins de 25 ans,,https://www.le-refuge.org/, 09 82 54 76 04,2,5,,,,
Se nourrir,,L'Epi San-Priot," 77 Avenue Jean Jaurès, 69800 Saint-Priest",Epicerie solidaire sur dossier ,Habitants de St Priest ,contact@lepisanpriot.fr,http://www.lepisanpriot.fr/, 04 72 48 20 02 ,1,,,,,
Se nourrir,,Les Bras Ouverts ,"299 Rue Claude Vignard, 69400 Villefranche-sur-Saône","ACCUEIL, PETIT DEJEUNER    
Le lundi, mardi, mercredi et jeudi matin 
de 9h à 12h

DISTRIBUTION ALIMENTAIRE :
Le mardi et le jeudi de 13h30 à 16h30 ",Tout public ,association.lesbrasouverts@orange.fr,http://bras-ouverts.blogspot.com/p/contact.html, 04 74 09 12 03,1,,,,,
Se nourrir,,Les Fourmis Lyonnaises,"22 Rue Arago, 69100 Villeurbanne","Epicerie solidaire 

Horaires d'ouverture : 
Du Lundi au Vendredi de 9h à 15h 
Samedi de 9h à 13h",Tout public ,,, ,1,,,,,
Se nourrir,,Les Mamas Qui Déchirent,"37 rue du Bossuet, 69006 Lyon ","Accompagnement à la parentalité. Aide matérielle, morale, sanitaire , administrative et juridique",Familles mono parentales,lesmamasquidechirent@gmail.com,https://www.facebook.com/associationlesmamasquidechirent/,06 50 42 14 70,1,5,,,,
Se nourrir,,Mémé Santilli,"24 Rue Sala, 69002 Lyon","Distribution alimentaire sur orientation d'un.e travailleur.e social.e 

Horaires d'ouvertures : 
les mercredis après-midi (hors jours fériés et vacances scolaires de Noël et de l’été) de 14 h 30  à 15 h 30.",Résidents du 2ème arrondissements de Lyon,meme.santilli@gmail.com,http://assoc-meme-santilli.org/, ,1,,,,,
Se nourrir,,Namania Vitton,"18 cours Vitton, 69006 Lyon ",Epicerie sociale et solidaire,Tout public ,philippe.chaze@sfr.fr,,,1,,,,,
Se nourrir,,Namania Vaulx en Velin,"59, avenue du 8 mai 1945, 69120 Vaulx-en-Velin","Aide et approvisionnement quotidien aux personnes en détresse (produits alimentaires, vêtements, hygiène, jouets). Accueil, écoute et accompagnement social et professionnel des personnes isolées, des jeunes et des familles en difficulté. Actions de lutte contre l’exclusion et accompagnement à l’emploi.",Tout public ,philippe.chaze@sfr.fr,, 04 82 31 59 36,1,,,,,
Se nourrir,,Oyenga Simy-Flo,"16 Rue Jules Ferry, 69200 Vénissieux","Association qui lutte contre l’exclusion sociale, l’isolement et la solitude avec un acocompagement socio-profesionnel, des activités à Vénissieux. 

IFETILA : épicerie sociale et solidaire avec denrées alimentaires et produits de première necessité.
",Tout public ,osfoyengasimyflo@gmail.com,https://www.oyenga-simy-flo.com/, 09 72 09 83 20,1,5,,,,
S'orienter,,Point Accueil de LAHSO,"66 rue Etienne Richerand, 69003 Lyon
","Le Point Accueil propose un accueil de jour
inconditionnel et anonyme aux personnes sans
domicile fixe ou en habitat précaires. 

Les hommes seuls sont accueillis le matin, les familles et les femmes seules sont accueillies l'après-midi. Permanence 100% femmes le jeudi après midi avec intervention médicale
",Tout public ,siege@lahso.org,https://www.lahso.fr/le-point-accueil.html,04 78 53 88 77,5,42,43,2,,
S'orienter,,Point du Jour ,"10 impasse Secret, 69005 LYON","Le Centre Socio-Culturel le Point du Jour acceuille tous les publics et proposent des activités variés pour tous les âges (sports, initiation à l'informatique, musique...). Ils accompagnent aussi les familles dans leur démarches. Ils proposent aussi des cours de français

Horaires d'ouverture : 
Accueil : du lundi au vendredi de 9h à 12h et de 14h à 18h30
Secrétariat & inscriptions : du lundi au vendredi de 9h à 12h et de 14h à 17h30",Tout public , contact@csc-pdj.fr,https://csc-pdj.fr/,04.78.25.55.89,5,,,,,
Se nourrir,,Restos du coeur - Beaujeu,"Rue du Pont des Pénitentiers, 69430 Beaujeu","FERME JUSQU'AU 2 SEPTEMBRE 

Distribution alimentaire, vestiaire, livres et accès au droit 

Horaires d'ouverture (tous les jeudis) :
Inscription de 9h à 11h45 et de 13h30 à 16h30
Distribution adultes et enfants de 8h30 à 12h30",Tout public ,ad69.beaujeu@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=BEAUJEU,04 74 69 28 91,1,5,,,,
Se nourrir,,Restos du coeur - Belleville,"Impasse de l'Hopital, 69220 Belleville ","FERME JUSQU'AU 20 AOUT 

Distribution alimentaire et accès au droit 

Horaires d'ouverture (tous les vendredis) :
Inscription et distribution : de 8h30 à 12h et de 13h30 à 16h",Tout public ,ad69.belleville@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=BELLEVILLE,09 86 35 72 40,1,,,,,
Se nourrir,,Restos du coeur - Brignais,"17 Rue A. Simondon, 69530 Brignais","Distribution alimentaire, livres, point bébé et accès au droit 

Horaires d'ouverture :
Inscription : les lundis de 15h30 à 18h 
Distribution adultes et enfants les vendredis de 8h45 à 11h",Tout public ,ad69.brignais@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=BRIGNAIS,04 78 37 00 61,1,,,,,
Se nourrir,,Restos du coeur - Bron,"49 Rue Jean Jaurès, 69500 Bron ","Distribution alimentaire, vestiaire, livres et accès au droit 

Horaires d'ouverture :
Inscription les lundis et mardis de 9h à 11h 
Distribution adultes et enfants les mardis de 13h30 à 16h30",Tout public ,ad69.bron@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=BRON,04 78 26 57 61,1,,,,,
Se nourrir,,Restos du coeur - Décines,"4 Rue Curie, 69150 Décines","FERME JUSQU'AU 2 SEPTEMBRE 

Distribution alimentaire, livres, point bébé et accès au droit 

Horaires d'ouverture  :
Inscription les mercredis de 9h à 12h
Distribution adultes et enfants de 8h30 à 12h et de 13h30 à 16h30",Tout public ,ad69.decines@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=DECINES,04 78 49 38 54,1,,,,,
Se nourrir,,Restos du coeur - Givors Grigny,"8 Rue Jean Ligonnet, 69700 Givors","FERME JUSQU'AU 31 AOUT 

Distribution alimentaire, vestiaire, coiffure, point bébé, santé 
Accès au droit et aides administratives dont logement et emploi

Horaires d'ouverture :
Inscription et distributions : les mardis de 9h à 11h30 puis de 14h à 15h30 et les mercredis de 9h à 11h30",Tout public ,ad69.givorsgrigny@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=GIVORS-GRIGNY,04 78 48 16 03,1,,,,,
Se nourrir,,Restos du coeur - L'Abresle,"15 Rue de Lyon, 69210 L'Abresle ","FERME JUSQU'AU 2 SEPTEMBRE 

Distribution alimentaire, vestiaire, livres, mobilier, coiffure, santé et point bébé
Accès au droit et aides administratives dont emploi
Cours de français

Horaires d'ouverture (tous les jeudis) :
Inscription et diistribution de 9h à 12h puis de 13h à 17h",Tout public ,ad69.larbresle@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=LARBRESLE,04 78 35 20 36,1,,,,,
Se nourrir,,Restos du coeur - Croix Rousse et Caluire,"19 BIS Rue Dumont, 69004 Lyon","A PARTIR DU 31 MARS 

Distribution alimentaire, livres
Vestiaire, laverie, point bébé, cours de français, séances de cinéma, santé 
Accès au droit, aides administratives (dont emploi et logement)

Horaires d'ouverture :
Les mercredis de 17h30 à 19h 
Les jeudis de 9h30 à 11h30 puis de 14h à 17h
Cours de français les mardis et vendredis matin",Tout public ,ad69.cxroussecaluire@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=CROIX-ROUSSE-CALUIRE,04 78 30 13 19,1,,,,,
Se nourrir,,Restos du coeur - Gorge de Loup,"143 BIS Avenue Sidoine Apollinaire, 69009 Lyon ","Distribution alimentaire, vestiaire, livres et accès au droit 

Horaires d'ouverture (tous les jeudis) :
Inscription de 9h à 11h45 et de 13h30 à 16h30
Distribution adultes et enfants de 8h30 à 12h30",Tout public ,ad69.gorgedeloup@restosducoeur.org,,04 78 25 94 63,1,,,,,
Se nourrir,,Restos du coeur - La Duchère,"26 Avenue Rosa Parks, 69009 Lyon","FERME EN AOUT

Distribution alimentaire, vestiaire, cours de français, ateliers cuisine, séances de cinéma
Accès au droit sur rendez-vous

Horaires d'ouverture :
Les mercredis et jeudis de 13h30 à 17h ",Tout public ,ad69.laduchere@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=LA-DUCHERE,04 78 64 58 90,1,,,,,
Se nourrir,,Restos du coeur - Maisons Neuves,"13 BIS Rue Girie, 69003 Lyon","A PARTIR DU 15 MARS

Distribution alimentaire, vestiaire, livres, cours de français, séances de cinéma, santé
Accès au droit et aide administratives (dont emploi)

Horaires d'ouverture :
Les lundis de 13h30 à 16h : inscription et distribution
Les mardis : inscriptions de 9h à 11h30 et distribution de 9h à 12h puis de 17h30 à 19h30",Tout public ,ad69.maisonsneuves@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=MAISONS-NEUVES,04 72 91 47 11,1,,,,,
Se nourrir,,Restos du coeur - Meyzieu,"198 Chemin de Pommier, 69330 Meyzieu ","FERME JUSQU'AU 31 AOUT

Distribution alimentaire, vestiaire, livres, mobilier, prévention santé
Accès au droit et aides administratives dont logement et emploi)

Horaires d'ouverture (tous les mardis) :
Inscription de 9h à 12h et de 14h à 16h30
Distribution adultes et enfants de 8h30 à 12h puis de 14h à 16h30",Tout public ,ad69.meyzieu@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=MEYZIEU,04 78 04 63 63,1,,,,,
Se nourrir,,Restos du coeur - Neuville,"11 Avenue Gambette, 69250 Neuville ","A PARTIR DU 29 MARS

Distribution alimentaire, vestiaire, livres, point bébé, séances de cinéma
Accès au droit et aides administratives (dont emploi) sur rendez vous

Horaires d'ouverture :
Les mardis et vendredi de 13h à 16h30  (sur inscription) ",Tout public ,ad69.neuville@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=NEUVILLE,04 72 08 95 87,1,,,,,
Se nourrir,,Restos du coeur - Oullins,"4 Rue d'Orsel, 69500 Oullins","Distribution alimentaire, vestiaire, cours de français sur rendez-vous, séances de cinéma
Accès au droit sur rendez-vous

Horaires d'ouverture :
Les mardis, jeudis et vendredis de 14h à 16h (sur inscription) 
Acceuil au droit les jeudis de 9h à 12h sur rendez-vous",Tout public ,ad69.oullins@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=OULLINS,04 78 59 44 73,1,,,,,
Se nourrir,,Restos du coeur - Perrache,"35 Rue Bichat, 69002 Lyon ","Distribution alimentaire,  cours de français et accès au droit 

Horaires d'ouverture :
Inscription les mardis de 13h30 à 16h30
Distribution adultes et enfants les mardis de 13h30 à 16h30 puis de 1èh à 19h et les jeudis de 9h à 12h ",Tout public ,ad69.perrache@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=PERRACHE,04 78 37 94 65,1,,,,,
Se nourrir,,Restos du coeur - Pierre Bénite,"14 Chemin de la Grande Allée, 69310 Pierre Bénite ","FERME JUSQU'AU 31 AOUT

Distribution alimentaire, vestiaire sur rendez-vous, livres, bric à brac et cours de français sur rendez-vous
Accès au droit au centre d'Oullins (4 rue d'Orsel)

Horaires d'ouverture :
Les mardis de 13h30 à 16h : inscription et distribution
lLes jeudis de 9h à 16h :  inscription et distribution
Vestiaire sur rendez vous les mercredis de 9h à 11h
",Tout public ,ad69.pierrebenite@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=PIERRE-BENITE,04 78 51 40 22,1,,,,,
Se nourrir,,Restos du coeur - Rilleux la Pape,"10 Place Boileau, 69140 Rilleux La Pape","FERME JUSQU'AU 30 AOUT 

Distribution alimentaire, vestiaire, livres, mobilier, séances de cinéma, cours de français 
Accès au droit sur rendez-vous 

Horaires d'ouverture :
Inscription les lundis et mardis de 9h à 11h30
Distribution adultes et enfants les lundis, mardis et mercredis de 14h à 17h",Tout public ,ad69.rillieux@restosducoeur.org,http://rhone.restosducoeur.org/nous-trouver.php?centre=RILLIEUX,04 78 97 23 05,1,,,,,
