Id,Nom,Adresse,Description,Public,Website,Téléphone,Catégorie1,Catégorie2,Catégorie3,Catégorie4,Catégorie5,Catégorie6,Catégorie7
1018,GROUPE HOSPITALIER MUTUALISTE LES PORTES DU SUD,"Lieu dit « le Couloud » Feyzin - 2, avenue du 11 novembre 1918 69694 Vénissieux",Consultations sociales et orientations médicales Rendez-vous sur appel téléphonique,,,04 72 89 80 00,3,,,,,,
1019,PASS du Vinatier,"95, boulevard Pinel 69500 Bron","Consultation médecine générale, consultation psychologique et psychiatrique, soins.
Du lundi au vendredi de 8h30 à 16h30 sans rendez-vous

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",,,04 37 91 52 07,3,,,,,,
1022,Hôpital de la Croix-Rousse,"103 Grande Rue de la Croix-Rousse, 69004 Lyon","Services d'urgence de 8h à 19h

Ouvert le lundi de 9h à 19h30, le mardi de 10h30 à 18h, le mercredi de 9h30 à 17h, le jeudi de 12h à 19h30 et le vendredi de 9h à 19h30 sauf le dernier vendredi du mois de 9h à 14h et de 16h30 à 19h30

- Consultations sociales et d'orientation médicale
- Dépistage avec ou sans rendez-vous
- Consultation médicale de remise des résultats sur rendez-vous
- Consultation possible sur rendez-vous avec une assistante sociale, un sexologue ou un psychologue

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",,,08 25 08 25 69,3,,,,,,
1024,Centre hospitalier - LYON SUD,165 chemin du Revoyet 69495 Pierre-Bénite,consultations sociales et d'orientation médicale,,,0 825 08 25 69,3,,,,,,
1027,Hôpital Henry Gabrielle,"20, route de Vourles 69230 Saint-Genis-Laval",Consultations sociales et d'orientation médicale,,,08 25 08 25 69,3,,,,,,
1029,Hôpital neurologique Pierre Wertheimer,"59, bd Pinel 69500 Bron",consultations sociales et d'orientation médicale,,,0 825 08 25 69,3,,,,,,
1030,Hôpital cardiologique Louis Pradel,"28, avenue Doyen Lépine 69500 Bron",consultations sociales et d'orientation médicale,,,0 825 08 25 69,3,,,,,,
1032,Pass pédiatrique HFME (Hôpital Femmes et Enfants) ,"59, boulevard Pinel 69677 Bron","PASS Pédiatrique ouvert le lundi et le vendredi de 9h à 17h

Consultation sur rendez-vous au 04 27 85 56 49 ou 04 27 85 56 47
Prise de rendez-vous par mail préférable : hfme.passpediatrique@chu-lyon.fr

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf
",,, 04 27 85 56 49/04 27 85 56 47,3,,,,,,
1034,Fondation Dispensaire Général de Lyon ,"10, rue de Sévigné 69003 Lyon ET 5 espace Henry Vallée 69007 Lyon","Consultation de médecine générale et spécialisée - Réservée aux personnes ayant une couverture maladie.
Centre de vaccination internationale
Accueil sur rendez-vous du lundi au vendredi de 8h à 19h et le samedi de 8h30 à 12h

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",,,"Sévigné:04 78 14 14 14
Vallée: 04 72 13 07 07",3,,,,,,
1036,Médecins du Monde,15 boulevard Vivier Merle 69003 Lyon,"Centre d’accueil de soins et d’orientation vers les structures d’aide (alimentation, hygiène, vêtements, juridique, scolarité...)

Consultations médico-sociales gratuites, sur place
Le lundi et le vendredi de 9h à 11h et le mercredi de 13h30 à 16h30 sans rendez-vous.
Réservé aux personnes sans couverture maladie.

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",,,04 72 92 49 01,3,,,,,,
1037,France Humanitaire,"15, rue Cavenne 69007 Lyon","Accueil, consultations et soins dentaires le jeudi à partir de 14h 
Consultations ophtalmologiques le mercredi à partir de 14h

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",,,04 72 73 09 25,3,,,,,,
1040,La Maison des Adolescents du Rhône ,"10, rue de Sévigné 69003 LYON",CONSULTATIONS MÉDICALES GRATUITES - Accueil du lundi au vendredi de 13h30 à 18h30,Public prioritaire 12/18 ans (exceptions possibles jusqu’à 25 ans),,04 37 23 65 03,3,,,,,,
1042,Centre de santé dentaire (CPAM),"76, rue de la Part-Dieu 69003 LYON","Soins uniquement sur rendez-vous
(pratique le tiers payant)

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",,,04 72 60 26 80,3,,,,,,
1043,Centres de santé dentaire (CPAM),27 bis cours de Verdun 69002 Lyon,"Accessible à tous. Soins uniquement sur rendez-vous.
(pratique le tiers payant)

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Tout Public,, 04 72 56 52 05,3,,,,,,
1044,Centres de santé dentaire (CPAM) ,"87, boulevard des Etats-Unis 69008 Lyon ","Soins uniquement sur rendez-vous
 (pratique le tiers payant)",,,04 78 00 00 39,3,,,,,,
1046,Hôpital Edouard Herriot,"5, place d’Arsonval 69003, Lyon","Service d'urgence 24h/24

Accès PASS (permanence d'accès aux soins de santé) : Pavillon K au rez-de-chaussée. 
Tous les jours de 8h45 à 16h30 et consultation sans rendez-vous après inscription via l’agent d’accueil. ",,,08 25 08 25 69/04 72 11 03 94,3,,,,,,
1049,Pause Diabolo - Association Le Mas,"64, rue Villeroy 69003 Lyon","Centre d’accueil et d’accompagnement médico-social
Information et accompagnement en réduction des risques pour les usager-ère-s de drogues, mise à disposition de matériel à usage unique, récupération du matériel usagé, dépistage anonyme et gratuit du VIH, VHC et VHB, accès au soin et laboratoire d'analyse de drogues.

Accueil collectif avec accompagnement social 
- Le lundi de 14h30 à 17h30 et le mercredi de 10h à 13h
- Accueil femmes le mardi de 14h30 à 17h30

Récupération du matériel à risques et accès au matériel du lundi au vendredi de 10h à 18h sauf le mercredi de 10h à 13h

Travail de rue le lundi sur la rive gauche et le mercredi et le jeudi à Villeurbanne.
Maraudes du mardi au vendredi les après-midis


Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",addictes,,04 78 62 03 74,3,42,43,,,,
1050,Ruptures - Aria,"36, rue Burdeau 69001 Lyon","Centre d’accueil et d’accompagnement à la réduction des risques pour usagers de drogues.

- Accès matériel de prévention et réduction des risques,infirmerie, douches et collations, les lundi, mardi et jeudi de 9h à 13h.
- Accès matériel de prévention et temps de suivi individuel lundi, mardi, jeudi et vendredi de 14h30 à 16h30 et le mercredi de 14h30 à 19h
- Maraudes de 17h à 19h le lundi, le mardi et le jeudi (déplacements possibles à domicile ou dans la rue).

Le dépanneur: livraison de matériel pour la réduction des risques. Demande de dépannage au 06 30 52 02 96

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Usagers de drogues,,04 78 39 34 89,3,,,,,,
1051,"Lyade Ainay - CSAPA (centre de soins, d’accompagnement et de prévention en addictologie)","10, rue de Castries 69002 LYON","Une structure qui répond aux questions posées par la « drogue », les toxicomanes et les addictions.

Accueil sans rendez-vous l’après-midi :
Lundi et Jeudi : 14 h à 16 h 30
Mardi et Vendredi : 16 h à 18 h
Les consultations médicales et psychologiques ont lieu uniquement sur rendez-vous.",Usagers de drogues ,,04 72 40 97 51,3,,,,,,
1858,L'OASIS,526 route de chantegrillet 69400 gleize,"L’Oasis est avant tout un lieu d’accueil pour des hommes en détresse, ayant perdu logement et travail. Elle offre à ces hommes un lieu de vie et de travail; ils y sont nourris, logés. ","hommes en détresse, ayant perdu logement et travai",http://association-oasis.com/index.htm,04 74 65 10 79,2,,,,,,
1903,Emmaüs Connect ,104 rue de Vienne 69008 Lyon,"Association d'inclusion numérique. 

Permanence du mardi au vendredi 9h-13h / 14h-18h. Fermé le jeudi matin 
🔺 Accueil uniquement sur orientation d'un travailleur social",Personnes précaires,http://emmaus-connect.org/lyon/,01 80 05 98 80,7,,,,,,
2602,SISTERS OF MOTHER TERESA IN BELGIUM,"Avenue du Roi 69, 1060 SAINT-GILLES","- Maison d'accueil pour femmes avec ou sans enfants
 - Repas chauds
 - Douches gratuites
 - Visites de personnes seule à domicile ou en home

Zone d'action
Région bruxelloise

Langues
français
 danois
 hindi
 norvégien
 néerlandais
 -service faisant appel à un service d'interprétariat social
 polonais
 anglais
 italien

Comment prendre contact


",,,,2,,,,,,
2714,Bus du Partage - Lyon 7ème ,"Place Jean Macé, 69007","Chaque mercredi le bus va à la rencontre de ceux qui ont des "" trop "", et des démunis
de 10h00 à 12h00 et de 14h30 à 16h30 Place Jean Macé (Métro Jean Macé)

Le Bus du Partage a pour but :
1. de susciter une attitude de partage entre deux catégories de population qui le plus souvent s'ignorent jusqu'à parfois s'affronter. Chaque semaine, dans une même ville, il va autant à la rencontre des plus démunis, qu'à la rencontre de ceux qui ont des objets en trop en bon état, qu'ils pourraient donner.
Ainsi un premier partage simple, léger et à la portée de tous s'initie : donner ce que l'on a en trop, qui correspond aux manques des plus démunis, et découvrir la joie d'être utile.
2. d'offrir un moment d'accueil et d'écoute chaleureux, sans jugement. Pour cela, un accompagnement de bénévole est proposé. Ainsi un deuxième partage sincère, essentiel, à la portée de tous, s'initie : accueillir d'abord le plus fragile en nous, pour accueillir ensuite les plus fragiles.
https://www.facebook.com/ReflexePartage",Tous publics,http://www.reflexepartage.org/,07 68 11 46 68,6,,,,,,
2721,Hôpital Saint Joseph Saint Luc,"38 rue Raulin, 69007 Lyon","Service d'urgences 24h/24

Consultation de médecine générale et entretien médico-spcial su rendez-vous


Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Publics adultes majeurs uniquement,,04 78 61 86 42/04 78 61 88 70,3,,,,,,
2745,Fratello Pâtes,Eglise Saint-Pothin - Place Edgar Quinet 69006 Lyon ,"Un nouveau service pour offrir et partager un repas convivial avec les personnes sans abris qui le souhaitent, .
Quand ? tous les lundis soirs à 19h30 dans la crypte de l’église
Rendez-vous dès 19 h pour préparer à toutes les personnes qui souhaitent donner un coup de main.

Horaires : 
Tous les lundis soirs 

Accès
Eglise Saint-Pothin - Place Edgar Quinet 69006 Lyon 
M° Foch
",Tous publics,,04 78 52 27 39,1,,,,,,
2755,Boîte à lire,35 Avenue du 8 Mai 1945 69160 Tassin-la-Demi-Lune,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2756,Boîte à lire,Place de la Paix 69200 Vénissieux,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2757,Boîte à lire,49 rue Professeur Roux 69200 Vénissieux,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2758,Boîte à lire,Square Matringe 69190 St Fons,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2759,Boîte à lire,Place Hyppolite Péragut 69160 Tassin-La-Demi-lune,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2760,Boîte à lire,Parc de l’Etoile 69160 Tassin-La-Demi-lune,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2761,Boîte à lire,Gare d’Ecully-La-Demi-Lune 69160 Tassin-La-Demi-lune,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2763,Boîte à lire,100 route de Vienne 69008 Lyon 8ème,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2764,Boîte à lire,11 Rue Général de Gaulle 69530 Brignais,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2787,Boîte à lire,17 rue Benoit Bernard 69008 Lyon,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Il y a même une petite terrasse en bois pour les beaux jours.",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2806,Boîte à lire,142 rue Sébastien Gryphe 69007 Lyon,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Une giftbox... des livres mais pas que!",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2807,Boîte à lire,Place Guichard 69003 LYON,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Boite momentanément indisponible pour cause de rénovation. Elle sera de retour le lundi 13 février",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2811,Boîte à lire,7 rue Auguste Lacroix 69003 Lyon,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : La boite à lire se trouve sur la devanture de l'atelier de RecycLivre !",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2814,Boîte à lire,"Parc Marius Bourrat, avenue Maréchal Foch 69110 SAINTE FOY LES LYON","Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Boîte à livres installée par la Mairie et construite par les élèves du collège de la ville.",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2822,Boîte à lire,chemin du vallon 69110 Sainte Foy Lès Lyon,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Un large choix  il y a même eu des livres de math !",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2830,Boîte à lire,rue de Cuzieu 69110 Sainte-Foy-lès-Lyon,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2831,Boîte à lire,Chemin des Prés 69110 SAINTE FOY LES LYON,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Boîte à lire installée par la Mairie  construite par des élèves du collège de Ste-Foy-les-Lyon.",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2851,Boîte à lire,39 rue Georges Courteline 69100 Villeurbanne,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Donnez une seconde vie à vos livres et déposez les au CCO dans un frigo bibliothèque spécialement construit pour les accueillir.",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2890,Boîte à lire,320 rue Garibaldi 69007 Lyon,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Boîte présente au Dépôt Imaginaire collectif de 12 éditeurs indépendants des Imaginaires. Accessible dans l'espace détente du Dépôt. Le surplus de livres est conservé dans un caisse qui  une fois pleine  est remise à des associations de réinsertion sociale.",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2962,Boîte à lire,place Lazare Goujon 69100 Villeurbanne,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Juste devant la mairie   les boîtes à lire sont disposées au croisement de l'avenue Henri Barbusse aux Gratte Ciel.",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2992,Boîte à lire,100 route de Vienne 69008 Lyon,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2996,Boîte à lire,avenue de la Gare 69530 Brignais,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
2998,Boîte à lire,Rue du 8 mai 1945 69800 Saint-Priest,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
3004,Boîte à lire,Place des Arts 69400 Villefranche-sur-Saône,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
3021,Boîte à lire,Place Benedict Tessier 69005 Lyon,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Boite à lire située à l'angle de la Place Benedict Tessier.",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
3142,Boîte à lire,rue Jean macé 69220 Belleville,"Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.

Précisions sur celle-ci : Vers l école Jean Macé au  quartier de la gare",tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
3168,Boîte à lire,Place Saint Irénée 69005 Lyon,Les boîtes à lire sont des installations libres d'accès où chacun peut venir prendre ou déposer des livres.,tous publics,https://www.boite-a-lire.com/,,6,62,,,,,
